dataset,model,seed,bin,n,acc,macro_f1,uar
cub200,resnet50,0,overall,5794,0.7875388332758025,0.7882345075849589,0.7895538956887296
cub200,resnet50,0,low,1930,0.7575129533678756,0.7561387685161671,0.772423560751577
cub200,resnet50,0,mid,1934,0.795760082730093,0.7765088750818261,0.7851722608531818
cub200,resnet50,0,high,1930,0.8093264248704664,0.7547307551901783,0.7799604023259176
cub200,resnet50,1,overall,5794,0.7833966171901967,0.782986983075771,0.7852449377662034
cub200,resnet50,1,low,1930,0.7601036269430052,0.7526756105028117,0.7716634289306483
cub200,resnet50,1,mid,1934,0.795243019648397,0.7706262607150434,0.7810448144691565
cub200,resnet50,1,high,1930,0.794818652849741,0.741367737784242,0.7718445244629841
cub200,resnet50,2,overall,5794,0.7887469796341042,0.7891142798742316,0.7906928557194083
cub200,resnet50,2,low,1930,0.7637305699481866,0.7530084314557525,0.77119317975316
cub200,resnet50,2,mid,1934,0.8050672182006204,0.781653069638196,0.7893549462233673
cub200,resnet50,2,high,1930,0.7974093264248705,0.7463563440011951,0.776709153857558
cub200,resnet50,3,overall,5794,0.7856403175698999,0.7854495367604453,0.7876817789928142
cub200,resnet50,3,low,1930,0.7575129533678756,0.7470376683506946,0.7672252053053146
cub200,resnet50,3,mid,1934,0.8019648397104446,0.7808692683838606,0.7893985301978723
cub200,resnet50,3,high,1930,0.7974093264248705,0.7508028602745966,0.7816921741108083
cub200,resnet50,4,overall,5794,0.7909906800138073,0.7906234681564023,0.7925398161338151
cub200,resnet50,4,low,1930,0.7632124352331606,0.7581234088146772,0.7770272445333736
cub200,resnet50,4,mid,1934,0.8014477766287487,0.7816318536662895,0.7884757212816423
cub200,resnet50,4,high,1930,0.8082901554404145,0.750508612957029,0.7809858068667915
cub200,convnext_tiny_in1k,0,overall,5794,0.8413876423886779,0.8409589345851981,0.8436565673506613
cub200,convnext_tiny_in1k,0,low,1930,0.8139896373056995,0.804315470757762,0.8262562906130817
cub200,convnext_tiny_in1k,0,mid,1934,0.8557394002068253,0.8397035708697564,0.8482113259547469
cub200,convnext_tiny_in1k,0,high,1930,0.8544041450777202,0.812602896648027,0.8376015822601641
cub200,convnext_tiny_in1k,1,overall,5794,0.8332758025543666,0.8323011014707609,0.8350186066392175
cub200,convnext_tiny_in1k,1,low,1930,0.810880829015544,0.8071534118987691,0.8247981861156599
cub200,convnext_tiny_in1k,1,mid,1934,0.8474663908996898,0.8288895225653776,0.8370468584777795
cub200,convnext_tiny_in1k,1,high,1930,0.8414507772020725,0.7856681448540668,0.8136192630645824
cub200,convnext_tiny_in1k,2,overall,5794,0.840006903693476,0.8394778607940574,0.8422951691155549
cub200,convnext_tiny_in1k,2,low,1930,0.8077720207253886,0.8010731532856726,0.819910425894809
cub200,convnext_tiny_in1k,2,mid,1934,0.8624612202688728,0.8464669550362994,0.8554085107144317
cub200,convnext_tiny_in1k,2,high,1930,0.8497409326424871,0.7913948022274064,0.8199650882064397
cub200,convnext_tiny_in1k,3,overall,5794,0.8377632033137729,0.8376414227740248,0.8399301633892496
cub200,convnext_tiny_in1k,3,low,1930,0.8196891191709844,0.8118120216572686,0.8293250869104928
cub200,convnext_tiny_in1k,3,mid,1934,0.8505687693898656,0.8355615075202436,0.8468656091715303
cub200,convnext_tiny_in1k,3,high,1930,0.8430051813471503,0.7884075597087932,0.8137919143737506
cub200,convnext_tiny_in1k,4,overall,5794,0.8348291335864687,0.833711160819943,0.8366540838826605
cub200,convnext_tiny_in1k,4,low,1930,0.8098445595854922,0.7962884845549358,0.8149661034935423
cub200,convnext_tiny_in1k,4,mid,1934,0.8448810754912099,0.828926333585124,0.8371479032663244
cub200,convnext_tiny_in1k,4,high,1930,0.8497409326424871,0.8062977663853202,0.8306237703614802
cub200,vit_small_in1k,0,overall,5794,0.7959958577839144,0.7942205368329696,0.7975935726716915
cub200,vit_small_in1k,0,low,1930,0.7715025906735752,0.7692079632540932,0.7913500125680475
cub200,vit_small_in1k,0,mid,1934,0.8107549120992761,0.7920128906733788,0.8006277593021014
cub200,vit_small_in1k,0,high,1930,0.805699481865285,0.746798650697546,0.7728079838091929
cub200,vit_small_in1k,1,overall,5794,0.7884017949603037,0.7867087275132036,0.7893373317153402
cub200,vit_small_in1k,1,low,1930,0.7518134715025907,0.7411372991387363,0.7651556553879714
cub200,vit_small_in1k,1,mid,1934,0.8076525336091003,0.785560192004846,0.7949481611225033
cub200,vit_small_in1k,1,high,1930,0.805699481865285,0.7473853435368021,0.7758111355519101
cub200,vit_small_in1k,2,overall,5794,0.7963410424577149,0.7950949432412944,0.7979956546087099
cub200,vit_small_in1k,2,low,1930,0.7663212435233161,0.7673583573727683,0.7952768688246388
cub200,vit_small_in1k,2,mid,1934,0.8138572905894519,0.7891607380578433,0.7977859067102487
cub200,vit_small_in1k,2,high,1930,0.8088082901554404,0.7508994945452033,0.781661857426311
cub200,vit_small_in1k,3,overall,5794,0.7923714187090093,0.7899934796077289,0.7943367297552771
cub200,vit_small_in1k,3,low,1930,0.7735751295336788,0.7760877244265637,0.7969323753990374
cub200,vit_small_in1k,3,mid,1934,0.8061013443640124,0.7838581004212883,0.794434979859322
cub200,vit_small_in1k,3,high,1930,0.7974093264248705,0.7332098448758495,0.7692870414443317
cub200,vit_small_in1k,4,overall,5794,0.8025543665861236,0.801825972277899,0.8040375744973908
