dataset,model,seed,bin,n,acc,macro_f1,uar
flowers102,resnet50,0,overall,6149,0.8490811514067328,0.8427728872349488,0.8717045501351691
flowers102,resnet50,0,low,2048,0.8525390625,0.6464051151309691,0.8303066457007832
flowers102,resnet50,0,mid,2053,0.8694593278129567,0.7851443464762391,0.8610573396571217
flowers102,resnet50,0,high,2048,0.8251953125,0.6191315529111736,0.8283994084473976
flowers102,resnet50,1,overall,6149,0.8464791022930558,0.8358284843123605,0.8655850726164391
flowers102,resnet50,1,low,2048,0.861328125,0.6614043204218141,0.841034036628407
flowers102,resnet50,1,mid,2053,0.8587433024841695,0.7680464512431961,0.8451779926664269
flowers102,resnet50,1,high,2048,0.8193359375,0.6024222599871878,0.8058806047610904
flowers102,resnet50,2,overall,6149,0.8477801268498943,0.8395129841838875,0.8671240661751758
flowers102,resnet50,2,low,2048,0.85546875,0.6634897408736284,0.839376465772633
flowers102,resnet50,2,mid,2053,0.8602045786653677,0.7711279502142322,0.8467424820988825
flowers102,resnet50,2,high,2048,0.82763671875,0.6147251358823663,0.8092031973036187
flowers102,resnet50,3,overall,6149,0.8481053829891039,0.8425365339127467,0.8691397923169417
flowers102,resnet50,3,low,2048,0.8603515625,0.6620066959185803,0.8395799151327985
flowers102,resnet50,3,mid,2053,0.8645884072089625,0.7780883563667609,0.8519960757392058
flowers102,resnet50,3,high,2048,0.8193359375,0.6150199627808903,0.8075181018940676
flowers102,resnet50,4,overall,6149,0.8544478777036917,0.8475590511341855,0.8723776877050774
flowers102,resnet50,4,low,2048,0.86962890625,0.6694164047103776,0.8436399659080006
flowers102,resnet50,4,mid,2053,0.8631271310277643,0.7831762020691959,0.8562469807993054
flowers102,resnet50,4,high,2048,0.83056640625,0.6203931519313514,0.822978712595949
flowers102,convnext_tiny_in1k,0,overall,6149,0.9323467230443976,0.929254105779574,0.9464474592806066
flowers102,convnext_tiny_in1k,0,low,2048,0.95361328125,0.7631120378949162,0.9486945519902198
flowers102,convnext_tiny_in1k,0,mid,2053,0.9425231368728688,0.8844187846532023,0.9517597316544718
flowers102,convnext_tiny_in1k,0,high,2048,0.90087890625,0.6983119955276561,0.914342085124286
flowers102,convnext_tiny_in1k,1,overall,6149,0.9359245405757034,0.9341073066499728,0.948632062676584
flowers102,convnext_tiny_in1k,1,low,2048,0.9443359375,0.7466998450287058,0.9353329874349656
flowers102,convnext_tiny_in1k,1,mid,2053,0.9439844130540672,0.8885244602065988,0.9541422774009972
flowers102,convnext_tiny_in1k,1,high,2048,0.91943359375,0.7241584044783267,0.9309417092771648
flowers102,convnext_tiny_in1k,2,overall,6149,0.9216132704504798,0.9205390653644916,0.9386537078663508
flowers102,convnext_tiny_in1k,2,low,2048,0.93115234375,0.738400700757242,0.9248798220607192
flowers102,convnext_tiny_in1k,2,mid,2053,0.9303458353628836,0.8732628902713122,0.9411485801972556
flowers102,convnext_tiny_in1k,2,high,2048,0.9033203125,0.6921807864198108,0.901987802025232
flowers102,convnext_tiny_in1k,3,overall,6149,0.9277931370954626,0.9278166749928982,0.9438143301259472
flowers102,convnext_tiny_in1k,3,low,2048,0.9423828125,0.7413234997554996,0.9301483297946704
flowers102,convnext_tiny_in1k,3,mid,2053,0.9337554797856796,0.8712348316259458,0.9384550236944847
flowers102,convnext_tiny_in1k,3,high,2048,0.9072265625,0.7109540244723033,0.9249549275020548
flowers102,convnext_tiny_in1k,4,overall,6149,0.9303951862091396,0.9299521678115382,0.9454599357141044
flowers102,convnext_tiny_in1k,4,low,2048,0.943359375,0.7494841765665222,0.9325361290924226
flowers102,convnext_tiny_in1k,4,mid,2053,0.9352167559668776,0.8709602577014385,0.9439894758914078
flowers102,convnext_tiny_in1k,4,high,2048,0.91259765625,0.7019156558476618,0.9212302156900102
flowers102,vit_small_in1k,0,overall,6149,0.8755895267523175,0.8729823089677747,0.8980736692776962
flowers102,vit_small_in1k,0,low,2048,0.89990234375,0.690788924136818,0.8682767469598303
flowers102,vit_small_in1k,0,mid,2053,0.8904042864101315,0.8285636360786216,0.903994843141432
flowers102,vit_small_in1k,0,high,2048,0.83642578125,0.6288586895587008,0.8318294772371577
flowers102,vit_small_in1k,1,overall,6149,0.8711985688729875,0.868821610302508,0.8926969884316251
flowers102,vit_small_in1k,1,low,2048,0.89208984375,0.6706251409202455,0.8374519554457804
flowers102,vit_small_in1k,1,mid,2053,0.8816366293229421,0.8187447871276889,0.8973336152902099
flowers102,vit_small_in1k,1,high,2048,0.83984375,0.6109080137855248,0.7965725121345031
flowers102,vit_small_in1k,2,overall,6149,0.8710359408033826,0.8684821645038066,0.8918179158176787
flowers102,vit_small_in1k,2,low,2048,0.89990234375,0.6857422019497003,0.8590394527192295
flowers102,vit_small_in1k,2,mid,2053,0.8806624452021432,0.8127837684123039,0.8877064212136269
flowers102,vit_small_in1k,2,high,2048,0.83251953125,0.587315268774508,0.7748151926778571
flowers102,vit_small_in1k,3,overall,6149,0.8807936249796715,0.8780716053242749,0.9002444109527501
flowers102,vit_small_in1k,3,low,2048,0.90283203125,0.6965252154501201,0.8690181083476078
flowers102,vit_small_in1k,3,mid,2053,0.8943010228933268,0.8379887250819399,0.9041681862958928
flowers102,vit_small_in1k,3,high,2048,0.84521484375,0.6486520138933002,0.8445820977660714
flowers102,vit_small_in1k,4,overall,6149,0.8830704179541389,0.8790043713501566,0.8995886460851217
flowers102,vit_small_in1k,4,low,2048,0.8984375,0.6972698579667523,0.8700221650391348
flowers102,vit_small_in1k,4,mid,2053,0.8972235752557234,0.835730581198533,0.9095251236411204
flowers102,vit_small_in1k,4,high,2048,0.853515625,0.629582476709927,0.8152869555139444
flowers102,swin_tiny,0,overall,6149,0.9346235160188648,0.9354081930210048,0.9501701132075
flowers102,swin_tiny,0,low,2048,0.95361328125,0.7581396897641827,0.9496501049144788
flowers102,swin_tiny,0,mid,2053,0.9439844130540672,0.8837140096453514,0.9499943904525892
flowers102,swin_tiny,0,high,2048,0.90625,0.7017827693759477,0.9108499234246036
flowers102,swin_tiny,1,overall,6149,0.9398276142462187,0.9360458183629692,0.9491185692590386
flowers102,swin_tiny,1,low,2048,0.95166015625,0.7529686610512959,0.938609179107558
flowers102,swin_tiny,1,mid,2053,0.9488553336580614,0.8866538311340613,0.9518634657822518
flowers102,swin_tiny,1,high,2048,0.9189453125,0.6969098652763753,0.8961529897890549
flowers102,swin_tiny,2,overall,6149,0.9399902423158236,0.9359139455547018,0.9498941950352732
flowers102,swin_tiny,2,low,2048,0.95263671875,0.747361724004453,0.9334367189396467
flowers102,swin_tiny,2,mid,2053,0.9532391622016562,0.8912420775702449,0.9555081231041124
flowers102,swin_tiny,2,high,2048,0.9140625,0.7117927008641941,0.9224985654204272
flowers102,swin_tiny,3,overall,6149,0.9346235160188648,0.9345156895474972,0.9485034901306024
flowers102,swin_tiny,3,low,2048,0.9541015625,0.7665390887313809,0.944908880059218
flowers102,swin_tiny,3,mid,2053,0.9454456892352656,0.8836039884880011,0.9488100451553017
flowers102,swin_tiny,3,high,2048,0.904296875,0.700687678061044,0.9129833019938044
flowers102,swin_tiny,4,overall,6149,0.9333224914620264,0.9323063536497826,0.9479988887166368
flowers102,swin_tiny,4,low,2048,0.955078125,0.7601313969698047,0.9492853063425094
flowers102,swin_tiny,4,mid,2053,0.9415489527520702,0.8759687427428511,0.9457110976956268
flowers102,swin_tiny,4,high,2048,0.9033203125,0.6896916287713551,0.8980966612042599
flowers102,convnext_tiny,0,overall,6149,0.9907302000325257,0.9908084498571996,0.9925853652870767
flowers102,convnext_tiny,0,low,2048,0.98974609375,0.8027556265419191,0.9865818211171492
flowers102,convnext_tiny,0,mid,2053,0.9887968826108134,0.9311461788403496,0.9904340885554498
flowers102,convnext_tiny,0,high,2048,0.99365234375,0.7883260213315967,0.9942071200486938
flowers102,convnext_tiny,1,overall,6149,0.9879655228492438,0.9855423850900747,0.9883068925794742
flowers102,convnext_tiny,1,low,2048,0.990234375,0.7986251012725053,0.9866831412543674
flowers102,convnext_tiny,1,mid,2053,0.9863614223088164,0.9251491742494798,0.9877623977848008
flowers102,convnext_tiny,1,high,2048,0.9873046875,0.7747834794903244,0.9833717015196862
flowers102,convnext_tiny,2,overall,6149,0.9905675719629208,0.9892232375347824,0.9914719381653998
flowers102,convnext_tiny,2,low,2048,0.99169921875,0.8021770590625127,0.987699034400888
flowers102,convnext_tiny,2,mid,2053,0.9868485143692158,0.927982645101026,0.9890166942213888
flowers102,convnext_tiny,2,high,2048,0.9931640625,0.7856697391583671,0.9919855352677556
flowers102,convnext_tiny,3,overall,6149,0.9905675719629208,0.989764465250621,0.9918429788440758
flowers102,convnext_tiny,3,low,2048,0.9931640625,0.8056221618554188,0.9914711219100644
flowers102,convnext_tiny,3,mid,2053,0.9873356064296152,0.926003952623241,0.9872775061219068
flowers102,convnext_tiny,3,high,2048,0.9912109375,0.7857095445519494,0.9924082966011456
flowers102,convnext_tiny,4,overall,6149,0.9892665474060824,0.9875134182438792,0.9903815679047242
flowers102,convnext_tiny,4,low,2048,0.9921875,0.803793712696728,0.99085068938793
flowers102,convnext_tiny,4,mid,2053,0.988309790550414,0.9274376028454112,0.989311212588824
flowers102,convnext_tiny,4,high,2048,0.9873046875,0.7773420820214219,0.9828194321542773
flowers102,vit_small,0,overall,6149,0.9702390632623192,0.9681939581190206,0.971674269099542
flowers102,vit_small,0,low,2048,0.97705078125,0.7901590289294993,0.9717804811101588
flowers102,vit_small,0,mid,2053,0.9736970287384316,0.9078838500142812,0.9694024573947424
flowers102,vit_small,0,high,2048,0.9599609375,0.7464140267352362,0.94732197944421
flowers102,vit_small,1,overall,6149,0.9582045861115628,0.9540976646114516,0.966759884184364
flowers102,vit_small,1,low,2048,0.96826171875,0.7767334844078074,0.9699500484273976
flowers102,vit_small,1,mid,2053,0.9663906478324404,0.9001254873155804,0.9700316038525032
flowers102,vit_small,1,high,2048,0.93994140625,0.7347638193665701,0.9357951830527466
flowers102,vit_small,2,overall,6149,0.9738168807936248,0.9742287826724928,0.978442542055336
flowers102,vit_small,2,low,2048,0.9853515625,0.7853366389992347,0.9685603694633996
flowers102,vit_small,2,mid,2053,0.9805163175840234,0.9240250417651388,0.9832995279335704
flowers102,vit_small,2,high,2048,0.95556640625,0.747386028905449,0.9486573202652158
