dataset,model,seed,condition,kind,param,n,acc,macro_f1,uar
cub200,resnet50,0,clean,clean,0,5794,0.7875388332758025,0.7882345075849589,0.7895538956887296
cub200,resnet50,0,grayscale,grayscale,,5794,0.3753883327580255,0.3444277749489802,0.3803128555609618
cub200,resnet50,0,hue_-0.500,hue,-0.5,5794,0.3859164653089403,0.3851531025555925,0.3940238000533708
cub200,resnet50,0,hue_-0.250,hue,-0.25,5794,0.380738695201933,0.3752408626694544,0.3899107032127824
cub200,resnet50,0,hue_-0.083,hue,-0.083,5794,0.5459095616154642,0.546950091917622,0.5521184725864162
cub200,resnet50,0,hue_+0.083,hue,0.083,5794,0.5669658267172938,0.560390163185045,0.5736861784031949
cub200,resnet50,0,hue_+0.250,hue,0.25,5794,0.3324128408698654,0.3193292415792351,0.3430096416861587
cub200,resnet50,0,hue_+0.500,hue,0.5,5794,0.3859164653089403,0.3851531025555925,0.3940238000533708
cub200,resnet50,0,shuffle_021,shuffle,"(0, 2, 1)",5794,0.4913703831549879,0.4841840543913014,0.4987304450264483
cub200,resnet50,0,shuffle_102,shuffle,"(1, 0, 2)",5794,0.4651363479461512,0.4485935663816053,0.4729223268964451
cub200,resnet50,0,shuffle_120,shuffle,"(1, 2, 0)",5794,0.3562305833620987,0.3412258940490149,0.3662801177388883
cub200,resnet50,0,shuffle_201,shuffle,"(2, 0, 1)",5794,0.3234380393510528,0.3158561599077535,0.3332132536656524
cub200,resnet50,0,shuffle_210,shuffle,"(2, 1, 0)",5794,0.3810838798757335,0.3716089730881137,0.3895487788212675
cub200,resnet50,0,quant_2,quant,2,5794,0.210044874007594,0.1975388104673789,0.213985287432932
cub200,resnet50,0,quant_4,quant,4,5794,0.5811183983431135,0.576165000692152,0.5832428058956308
cub200,resnet50,0,quant_8,quant,8,5794,0.7255781843286158,0.7236847075299799,0.7278039081853294
cub200,resnet50,0,quant_16,quant,16,5794,0.7682084915429755,0.7677142000478087,0.7705386878961802
cub200,resnet50,1,clean,clean,0,5794,0.7833966171901967,0.782986983075771,0.7852449377662034
cub200,resnet50,1,grayscale,grayscale,,5794,0.3791853641698308,0.3522740916774945,0.3844854344265493
cub200,resnet50,1,hue_-0.500,hue,-0.5,5794,0.3845357266137383,0.3889214051196064,0.3925306073937811
cub200,resnet50,1,hue_-0.250,hue,-0.25,5794,0.3895409043838453,0.3832319866157299,0.3985570058829942
cub200,resnet50,1,hue_-0.083,hue,-0.083,5794,0.5377977217811529,0.5385178755802799,0.5439266070771042
cub200,resnet50,1,hue_+0.083,hue,0.083,5794,0.5657576803589921,0.5607513292948613,0.5721951964564014
cub200,resnet50,1,hue_+0.250,hue,0.25,5794,0.3560579910251985,0.3429188733784326,0.3653393752002605
cub200,resnet50,1,hue_+0.500,hue,0.5,5794,0.3845357266137383,0.3889214051196064,0.3925306073937811
cub200,resnet50,1,shuffle_021,shuffle,"(0, 2, 1)",5794,0.4946496375560925,0.487774920794086,0.5019546571546295
cub200,resnet50,1,shuffle_102,shuffle,"(1, 0, 2)",5794,0.4765274421815671,0.4606609188024639,0.483992785425615
cub200,resnet50,1,shuffle_120,shuffle,"(1, 2, 0)",5794,0.3638246461857093,0.3499967481439884,0.3721327838433693
cub200,resnet50,1,shuffle_201,shuffle,"(2, 0, 1)",5794,0.3489817052122885,0.3392967174058487,0.3584028370160106
