dataset,model,seed,condition,kind,param,n,acc,macro_f1,uar
flowers102,resnet50,0,clean,clean,0,6149,0.8490811514067328,0.8427728872349488,0.8717045501351691
flowers102,resnet50,0,grayscale,grayscale,,6149,0.4901610017889087,0.4520255445852762,0.5159206528843215
flowers102,resnet50,0,hue_-0.500,hue,-0.5,6149,0.5311432753293218,0.5219048526678636,0.5718015117438833
flowers102,resnet50,0,hue_-0.250,hue,-0.25,6149,0.5534233208651813,0.5275429597526979,0.5759293712938234
flowers102,resnet50,0,hue_-0.083,hue,-0.083,6149,0.7804521060335013,0.7656457517436127,0.7970587565851065
flowers102,resnet50,0,hue_+0.083,hue,0.083,6149,0.7549194991055456,0.7499379990594869,0.7779440935870843
flowers102,resnet50,0,hue_+0.250,hue,0.25,6149,0.5617173524150268,0.5484420987717616,0.5739256892626043
flowers102,resnet50,0,hue_+0.500,hue,0.5,6149,0.5311432753293218,0.5219048526678636,0.5718015117438833
flowers102,resnet50,0,shuffle_021,shuffle,"(0, 2, 1)",6149,0.643681899495853,0.6306301592342981,0.664611481322772
flowers102,resnet50,0,shuffle_102,shuffle,"(1, 0, 2)",6149,0.7002764677183282,0.6875026965962918,0.7216100366600532
flowers102,resnet50,0,shuffle_120,shuffle,"(1, 2, 0)",6149,0.5207350788746138,0.4935842492490755,0.5440819898799871
flowers102,resnet50,0,shuffle_201,shuffle,"(2, 0, 1)",6149,0.5530980647259717,0.5336045295916545,0.5640390663464073
flowers102,resnet50,0,shuffle_210,shuffle,"(2, 1, 0)",6149,0.5428524963408684,0.5208935212612036,0.5683023849420389
flowers102,resnet50,0,quant_2,quant,2,6149,0.199056757196292,0.195924502835129,0.2038292531651155
flowers102,resnet50,0,quant_4,quant,4,6149,0.5532606927955765,0.5518616614243208,0.5832394718331984
flowers102,resnet50,0,quant_8,quant,8,6149,0.7280858676207513,0.7248482151793235,0.7522541005964571
flowers102,resnet50,0,quant_16,quant,16,6149,0.7989917059684501,0.7944213870961134,0.821480452193216
flowers102,resnet50,1,clean,clean,0,6149,0.8464791022930558,0.8358284843123605,0.8655850726164391
flowers102,resnet50,1,grayscale,grayscale,,6149,0.4872336965360221,0.4558255127166144,0.5182996596016739
flowers102,resnet50,1,hue_-0.500,hue,-0.5,6149,0.4924377947633762,0.4780457989031699,0.5352198594483524
flowers102,resnet50,1,hue_-0.250,hue,-0.25,6149,0.5412262156448203,0.5186513524840871,0.5566420103944392
flowers102,resnet50,1,hue_-0.083,hue,-0.083,6149,0.7848430639128313,0.77274060823529,0.7978755980721187
flowers102,resnet50,1,hue_+0.083,hue,0.083,6149,0.7602862254025045,0.7526868764403278,0.7823044291172401
flowers102,resnet50,1,hue_+0.250,hue,0.25,6149,0.5495202471946657,0.5345453351258062,0.570317769098701
flowers102,resnet50,1,hue_+0.500,hue,0.5,6149,0.4924377947633762,0.4780457989031699,0.5352198594483524
flowers102,resnet50,1,shuffle_021,shuffle,"(0, 2, 1)",6149,0.6402667100341519,0.625677819944958,0.6559905472045713
flowers102,resnet50,1,shuffle_102,shuffle,"(1, 0, 2)",6149,0.6885672467067816,0.6757072041215146,0.7184726156604505
flowers102,resnet50,1,shuffle_120,shuffle,"(1, 2, 0)",6149,0.5087006017238576,0.4767212617107108,0.5287303392298868
flowers102,resnet50,1,shuffle_201,shuffle,"(2, 0, 1)",6149,0.5316311595381363,0.5096740135421305,0.5519386591231794
flowers102,resnet50,1,shuffle_210,shuffle,"(2, 1, 0)",6149,0.5195966823873801,0.5066325451579669,0.5512019909807325
flowers102,resnet50,1,quant_2,quant,2,6149,0.0117092210115465,0.003325615257731,0.0172120597477098
flowers102,resnet50,1,quant_4,quant,4,6149,0.3893315986339242,0.3820035337851118,0.407763157081024
flowers102,resnet50,1,quant_8,quant,8,6149,0.648885997723207,0.6435329777559493,0.6794595878160494
flowers102,resnet50,1,quant_16,quant,16,6149,0.76418929907302,0.7578741321713794,0.7876329842006418
flowers102,resnet50,2,clean,clean,0,6149,0.8477801268498943,0.8395129841838875,0.8671240661751758
flowers102,resnet50,2,grayscale,grayscale,,6149,0.4823548544478777,0.4455391224839862,0.5158171163639161
flowers102,resnet50,2,hue_-0.500,hue,-0.5,6149,0.5104895104895105,0.4960310692646978,0.5489678907596596
flowers102,resnet50,2,hue_-0.250,hue,-0.25,6149,0.5252886648235485,0.4947831682179391,0.5503195108103182
flowers102,resnet50,2,hue_-0.083,hue,-0.083,6149,0.776386404293381,0.7690399169049539,0.7946981750311043
flowers102,resnet50,2,hue_+0.083,hue,0.083,6149,0.7461375833468856,0.7421629102205989,0.7677814063508923
flowers102,resnet50,2,hue_+0.250,hue,0.25,6149,0.543177752480078,0.5339108279732945,0.5625883788036479
flowers102,resnet50,2,hue_+0.500,hue,0.5,6149,0.5104895104895105,0.4960310692646978,0.5489678907596596
flowers102,resnet50,2,shuffle_021,shuffle,"(0, 2, 1)",6149,0.6303463977882583,0.6079941863673554,0.6462183255889684
flowers102,resnet50,2,shuffle_102,shuffle,"(1, 0, 2)",6149,0.6695397625630184,0.6620488975431731,0.7022865864043782
flowers102,resnet50,2,shuffle_120,shuffle,"(1, 2, 0)",6149,0.4901610017889087,0.4564207994611955,0.5147404438502181
flowers102,resnet50,2,shuffle_201,shuffle,"(2, 0, 1)",6149,0.5459424296633599,0.5237624001138461,0.5563070072015307
flowers102,resnet50,2,shuffle_210,shuffle,"(2, 1, 0)",6149,0.539762563018377,0.5227693453706748,0.566047249016743
flowers102,resnet50,2,quant_2,quant,2,6149,0.0422832980972515,0.0344460931410735,0.0412522339682128
flowers102,resnet50,2,quant_4,quant,4,6149,0.5090258578630672,0.5208219885013804,0.5441526108601381
flowers102,resnet50,2,quant_8,quant,8,6149,0.6749064888599773,0.6850068691934319,0.7134753841403313
flowers102,resnet50,2,quant_16,quant,16,6149,0.76858025695235,0.7672552191498128,0.7959580310452612
flowers102,resnet50,3,clean,clean,0,6149,0.8481053829891039,0.8425365339127467,0.8691397923169417
flowers102,resnet50,3,grayscale,grayscale,,6149,0.5116279069767442,0.4815110721933837,0.5365539202382155
flowers102,resnet50,3,hue_-0.500,hue,-0.5,6149,0.5399251910879818,0.5261918054268864,0.5890286716477674
flowers102,resnet50,3,hue_-0.250,hue,-0.25,6149,0.561554724345422,0.543548413638007,0.5894240233188334
flowers102,resnet50,3,hue_-0.083,hue,-0.083,6149,0.7653276955602537,0.754527714926459,0.7818622857512161
flowers102,resnet50,3,hue_+0.083,hue,0.083,6149,0.7521548219222638,0.747418157504701,0.7734968931175233
flowers102,resnet50,3,hue_+0.250,hue,0.25,6149,0.5566758822572776,0.5504319676729514,0.5779168721541499
flowers102,resnet50,3,hue_+0.500,hue,0.5,6149,0.5399251910879818,0.5261918054268864,0.5890286716477674
flowers102,resnet50,3,shuffle_021,shuffle,"(0, 2, 1)",6149,0.6534395836721418,0.645431792337378,0.6742922545690098
flowers102,resnet50,3,shuffle_102,shuffle,"(1, 0, 2)",6149,0.6900308993332249,0.6848941108516682,0.7220431649509985
flowers102,resnet50,3,shuffle_120,shuffle,"(1, 2, 0)",6149,0.5337453244429988,0.5099212642594884,0.5617359204110894
flowers102,resnet50,3,shuffle_201,shuffle,"(2, 0, 1)",6149,0.5456171735241503,0.5393778583681974,0.5686582999671898
flowers102,resnet50,3,shuffle_210,shuffle,"(2, 1, 0)",6149,0.5625304927630509,0.5549184088796227,0.5963270376832319
flowers102,resnet50,3,quant_2,quant,2,6149,0.1678321678321678,0.1524749752894427,0.1624578452352997
flowers102,resnet50,3,quant_4,quant,4,6149,0.5874125874125874,0.581960070412203,0.6006173819457119
flowers102,resnet50,3,quant_8,quant,8,6149,0.7381688079362498,0.7353957354513854,0.7580149331390531
