y_true,clean,gray,n,CR,arm
0,0.93,0.63,100,0.30000000000000004,resnet50
1,0.925,0.895,200,0.030000000000000027,resnet50
2,0.47,0.46,100,0.009999999999999953,resnet50
3,0.4,0.24444444444444444,180,0.15555555555555559,resnet50
4,0.8177777777777778,0.017777777777777778,225,0.8,resnet50
5,0.96,0.8,125,0.15999999999999992,resnet50
6,0.95,0.9,100,0.04999999999999993,resnet50
7,1.0,0.88,325,0.12,resnet50
8,0.9076923076923077,0.38461538461538464,130,0.523076923076923,resnet50
9,0.984,0.968,125,0.016000000000000014,resnet50
10,0.573134328358209,0.3253731343283582,335,0.2477611940298508,resnet50
11,0.9402985074626866,0.6985074626865672,335,0.24179104477611946,resnet50
12,1.0,0.8758620689655172,145,0.12413793103448278,resnet50
13,0.9714285714285714,1.0,140,-0.02857142857142858,resnet50
14,0.9862068965517241,0.2620689655172414,145,0.7241379310344827,resnet50
15,0.9142857142857143,0.0,105,0.9142857142857143,resnet50
16,0.9723076923076923,0.8430769230769231,325,0.12923076923076926,resnet50
17,0.8483870967741935,0.7774193548387097,310,0.07096774193548383,resnet50
18,0.8068965517241379,0.6413793103448275,145,0.16551724137931034,resnet50
19,0.8166666666666667,0.7722222222222223,180,0.0444444444444444,resnet50
20,0.83,0.39,100,0.43999999999999995,resnet50
21,0.9025641025641026,0.8512820512820513,195,0.05128205128205132,resnet50
22,0.8507042253521127,0.8,355,0.05070422535211261,resnet50
23,0.9272727272727272,0.4636363636363636,110,0.4636363636363636,resnet50
24,0.9809523809523809,0.8476190476190476,105,0.1333333333333333,resnet50
25,0.8666666666666667,0.009523809523809525,105,0.8571428571428572,resnet50
26,1.0,0.62,100,0.38,resnet50
27,0.9347826086956522,0.21304347826086956,230,0.7217391304347827,resnet50
28,0.9379310344827586,0.4793103448275862,290,0.4586206896551724,resnet50
29,0.6492307692307693,0.3169230769230769,325,0.33230769230769236,resnet50
30,0.83125,0.26875,160,0.5625,resnet50
31,0.808,0.824,125,-0.015999999999999903,resnet50
32,0.9153846153846154,0.8769230769230769,130,0.038461538461538436,resnet50
33,0.99,0.71,100,0.28,resnet50
34,0.9304347826086956,0.9130434782608695,115,0.017391304347826098,resnet50
35,0.8327272727272728,0.88,275,-0.047272727272727244,resnet50
36,0.9863636363636363,0.9363636363636364,440,0.04999999999999993,resnet50
37,0.9388888888888889,0.85,180,0.0888888888888889,resnet50
38,0.6190476190476191,0.4,105,0.21904761904761905,resnet50
39,0.7531914893617021,0.4340425531914894,235,0.3191489361702127,resnet50
40,0.908411214953271,0.5906542056074766,535,0.31775700934579443,resnet50
