dataset,model,seed,best_val_acc,time_min,lr_used,recipe
cub200,resnet50,0,0.796,8.895095181465148,0.0001,adamw
cub200,resnet50,1,0.797,8.335981798171996,0.0001,adamw
cub200,resnet50,2,0.796,8.253099389870961,0.0001,adamw
cub200,resnet50,3,0.804,8.852606685956319,0.0001,adamw
cub200,resnet50,4,0.804,8.793916177749633,0.0001,adamw
cub200,convnext_tiny_in1k,0,0.849,9.48742180665334,0.0001,adamw
cub200,convnext_tiny_in1k,1,0.85,9.243140614032743,0.0001,adamw
cub200,convnext_tiny_in1k,2,0.856,9.191910115877787,0.0001,adamw
cub200,convnext_tiny_in1k,3,0.845,9.090000494321188,0.0001,adamw
cub200,convnext_tiny_in1k,4,0.845,9.095313763618469,0.0001,adamw
cub200,vit_small_in1k,0,0.81,8.399127662181854,0.0001,adamw
cub200,vit_small_in1k,1,0.8,8.265082252025604,0.0001,adamw
cub200,vit_small_in1k,2,0.813,8.35156302054723,0.0001,adamw
cub200,vit_small_in1k,3,0.81,8.30206128358841,0.0001,adamw
cub200,vit_small_in1k,4,0.819,8.226501123110454,0.0001,adamw
cub200,swin_tiny,0,0.865,11.956439904371898,0.0001,adamw
cub200,swin_tiny,1,0.86,11.153790211677553,0.0001,adamw
cub200,swin_tiny,2,0.857,11.272882986068726,0.0001,adamw
cub200,swin_tiny,3,0.864,11.249347949028015,0.0001,adamw
cub200,swin_tiny,4,0.864,11.26756191253662,0.0001,adamw
cub200,convnext_tiny,0,0.89,9.539913082122805,0.0001,adamw
cub200,convnext_tiny,1,0.887,9.49779293934504,0.0001,adamw
cub200,convnext_tiny,2,0.901,9.440768925348918,0.0001,adamw
cub200,convnext_tiny,3,0.892,9.633228592077892,0.0001,adamw
cub200,convnext_tiny,4,0.9,9.235876381397247,0.0001,adamw
cub200,vit_small,0,0.863,7.808388070265452,0.0001,adamw
cub200,vit_small,1,0.866,7.955275944868723,0.0001,adamw
cub200,vit_small,2,0.86,8.040862627824147,0.0001,adamw
cub200,vit_small,3,0.854,7.9422248840332035,0.0001,adamw
cub200,vit_small,4,0.853,7.983804492155711,0.0001,adamw
cub200,resnet50_gray,0,0.676,9.191421298185984,0.0001,adamw
cub200,resnet50_gray,1,0.664,9.41534499724706,0.0001,adamw
cub200,resnet50_gray,2,0.671,9.28228094180425,0.0001,adamw
cub200,resnet50_gray,3,0.678,9.04354457060496,0.0001,adamw
cub200,resnet50_gray,4,0.661,8.790633893013,0.0001,adamw
cub200,convnext_tiny_in1k_gray,0,0.763,9.428832960128783,0.0001,adamw
cub200,convnext_tiny_in1k_gray,1,0.756,9.280091734727224,0.0001,adamw
cub200,convnext_tiny_in1k_gray,2,0.755,9.292180180549622,0.0001,adamw
cub200,convnext_tiny_in1k_gray,3,0.756,9.275473980108895,0.0001,adamw
cub200,convnext_tiny_in1k_gray,4,0.751,9.281343948841094,0.0001,adamw
cub200,vit_small_in1k_gray,0,0.641,8.732254525025686,0.0001,adamw
cub200,vit_small_in1k_gray,1,0.645,8.520020771026612,0.0001,adamw
cub200,vit_small_in1k_gray,2,0.642,8.467759839693706,0.0001,adamw
cub200,vit_small_in1k_gray,3,0.628,8.547132301330567,0.0001,adamw
cub200,vit_small_in1k_gray,4,0.671,8.596084439754486,0.0001,adamw
cub200,swin_tiny_gray,0,0.763,11.027299801508583,0.0001,adamw
cub200,swin_tiny_gray,1,0.765,11.030147457122805,0.0001,adamw
cub200,swin_tiny_gray,2,0.751,11.048580237229665,0.0001,adamw
cub200,swin_tiny_gray,3,0.762,11.05316188732783,0.0001,adamw
cub200,swin_tiny_gray,4,0.757,11.162700136502584,0.0001,adamw
cub200,resnet50_tv_sgd,0,0.836,8.919606697559356,0.01,sgd
cub200,resnet50_tv_sgd,1,0.845,8.864750250180562,0.01,sgd
cub200,resnet50_tv_sgd,2,0.832,8.907734282811482,0.01,sgd
cub200,resnet50_tv_sgd,3,0.822,8.844493722915649,0.01,sgd
cub200,resnet50_tv_sgd,4,0.821,9.22965011994044,0.01,sgd
cub200,resnet50_adamw_lr1e3,0,0.837,8.611495971679688,0.001,adamw_lr1e3
cub200,resnet50_adamw_lr1e3,1,0.834,9.078501311937968,0.001,adamw_lr1e3
cub200,resnet50_adamw_lr1e3,2,0.837,9.029642820358276,0.001,adamw_lr1e3
cub200,resnet50_adamw_lr1e3,3,0.839,8.686968080202739,0.001,adamw_lr1e3
cub200,resnet50_adamw_lr1e3,4,0.83,8.708060057957967,0.001,adamw_lr1e3
cub200,resnet50_sgd,0,0.743,8.77984659274419,0.01,sgd
cub200,resnet50_sgd,1,0.761,8.854417673746745,0.01,sgd
cub200,resnet50_sgd,2,0.754,9.02137809197108,0.01,sgd
cub200,resnet50_sgd,3,0.745,8.834867842992146,0.01,sgd
cub200,resnet50_sgd,4,0.758,8.520757055282592,0.01,sgd
