dataset,model,seed,best_val_acc,time_min,lr_used,recipe
flowers102,resnet50,0,0.8833333333333333,3.1737204074859617,,
flowers102,convnext_tiny,0,0.9901960784313726,3.440092595418294,,
flowers102,vit_small,0,0.9774509803921568,2.7020066301027934,,
flowers102,swin_tiny,0,0.9509803921568628,3.603602393468221,,
flowers102,resnet50,1,0.8892156862745098,3.0342331528663635,,
flowers102,resnet50,2,0.8764705882352941,3.067463910579681,,
flowers102,convnext_tiny,1,0.9901960784313726,3.29630161523819,,
flowers102,convnext_tiny,2,0.9950980392156864,3.0927960236867267,,
flowers102,vit_small,1,0.9705882352941176,2.707509080568949,,
flowers102,vit_small,2,0.9784313725490196,2.6245790123939514,,
flowers102,swin_tiny,1,0.9627450980392156,3.509507103761037,,
flowers102,swin_tiny,2,0.953921568627451,3.482911249001821,,
flowers102,resnet50,3,0.8872549019607843,3.0624250570933023,,
flowers102,resnet50,4,0.8803921568627451,2.982733615239461,,
flowers102,convnext_tiny,3,0.9941176470588236,3.2167287349700926,,
flowers102,convnext_tiny,4,0.992156862745098,3.0567771116892497,,
flowers102,vit_small,3,0.9715686274509804,2.6408304373423257,,
flowers102,vit_small,4,0.9784313725490196,2.6115121483802795,,
flowers102,swin_tiny,3,0.9568627450980391,3.482693608601888,,
flowers102,swin_tiny,4,0.965686274509804,3.486615232626597,,
flowers102,resnet50_sgd,0,0.796078431372549,5.082680404186249,0.01,sgd
flowers102,resnet50_sgd,1,0.7990196078431373,5.071268427371979,0.01,sgd
flowers102,resnet50_sgd,2,0.7950980392156862,5.155680561065674,0.01,sgd
flowers102,resnet50_sgd,3,0.788235294117647,3.068715151151021,0.01,sgd
flowers102,resnet50_sgd,4,0.7872549019607843,2.9935730059941608,0.01,sgd
