dataset,metric,contrast,diff,ci_lo,ci_hi,n
flowers102,clean_acc,ResNet-50 - ConvNeXt-T,-0.08043584322654092,-0.0881272073018837,-0.07274447915119814,5
flowers102,clean_acc,ResNet-50 - ViT-S,-0.027158887624003914,-0.03173471697761622,-0.022583058270391605,5
flowers102,clean_acc,ResNet-50 - Swin-T,-0.087298747763864,-0.0945223476245774,-0.0800751479031506,5
flowers102,clean_acc,ConvNeXt-T - ViT-S,0.053276955602537,0.04395796213441511,0.0625959490706589,5
flowers102,clean_acc,ConvNeXt-T - Swin-T,-0.006862904537323078,-0.015142503217605524,0.001416694142959368,5
flowers102,clean_acc,ViT-S - Swin-T,-0.06013986013986008,-0.07068610615037525,-0.0495936141293449,5
flowers102,CR,ResNet-50 - ConvNeXt-T,0.09682875264270614,0.054282315078562085,0.13937519020685019,5
flowers102,CR,ResNet-50 - ViT-S,-0.1849081151406733,-0.21865299223481044,-0.15116323804653614,5
flowers102,CR,ResNet-50 - Swin-T,0.06602699625955447,0.04663756561696633,0.0854164269021426,5
flowers102,CR,ConvNeXt-T - ViT-S,-0.2817368677833795,-0.3000159979660326,-0.2634577376007263,5
flowers102,CR,ConvNeXt-T - Swin-T,-0.03080175638315168,-0.09022626001661112,0.028622747250307754,5
flowers102,CR,ViT-S - Swin-T,0.25093511140022773,0.20379745760167506,0.2980727651987804,5
cub200,clean_acc,ResNet-50 - ConvNeXt-T,-0.05018985157059026,-0.05494667333884887,-0.04543302980233166,5
cub200,clean_acc,ResNet-50 - ViT-S,-0.007870210562651003,-0.010884179289869676,-0.00485624183543233,5
cub200,clean_acc,ResNet-50 - Swin-T,-0.05950983776320331,-0.06426907256959626,-0.05475060295681036,5
cub200,clean_acc,ConvNeXt-T - ViT-S,0.04231964100793926,0.03529263659926348,0.049346645416615036,5
cub200,clean_acc,ConvNeXt-T - Swin-T,-0.00931998619261305,-0.016184333968701243,-0.002455638416524856,5
cub200,clean_acc,ViT-S - Swin-T,-0.051639627200552304,-0.05855961430157709,-0.044719640099527516,5
cub200,CR,ResNet-50 - ConvNeXt-T,-0.00034518467380049154,-0.011880708498090175,0.011190339150489193,5
cub200,CR,ResNet-50 - ViT-S,-0.08111839834311357,-0.09788468116991535,-0.0643521155163118,5
cub200,CR,ResNet-50 - Swin-T,-0.013703831549879175,-0.04905373833662711,0.021646075236868755,5
cub200,CR,ConvNeXt-T - ViT-S,-0.08077321366931309,-0.09137086023864097,-0.07017556709998521,5
cub200,CR,ConvNeXt-T - Swin-T,-0.013358646876078684,-0.0388225217344884,0.012105227982331032,5
cub200,CR,ViT-S - Swin-T,0.0674145667932344,0.03588067187765638,0.09894846170881243,5
