dataset,id,config,checkpoint,optimizer,lr,wd,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd,diff_vs_S1,ci_lo,ci_hi
flowers102,S1,shared,a1_in1k,adamw,0.0001,0.05,0.8491787282484957,0.003089077266699313,0.49874776386404296,0.01730992271281907,0.3504309643844528,0.0150483259997933,,,
flowers102,S11,legacy,tv_in1k,sgd,0.01,0.0001,0.9201821434379575,0.002016194569701731,0.6697674418604651,0.010645370584785345,0.25041470157749235,0.011787674688511454,0.07100341518946171,0.06630318533879392,0.0757036450401295
flowers102,S12,proper,a1_in1k,adamw,0.001,0.05,0.9075947308505448,0.006172801123962733,0.597430476500244,0.023103090328951734,0.31016425435030087,0.02109136218945282,0.058416002602049114,0.04772670520033518,0.06910530000376305
flowers102,S13,sgd,a1_in1k,sgd,0.01,0.0001,0.7660107334525939,0.0053487084007822925,0.3792811839323467,0.019370976100783473,0.3867295495202473,0.014467044265729671,-0.08316799479590178,-0.09320024991268896,-0.0731357396791146
flowers102,S2,ConvNeXt-T reference,fb_in1k,adamw,0.0001,0.05,0.9296145714750365,0.005367219086666247,0.67601235973329,0.0220468726591694,0.25360221174174663,0.02154057741678515,,,
cub200,S1,shared,a1_in1k,adamw,0.0001,0.05,0.7872626855367622,0.0029049910345075513,0.37124611667241975,0.008274538160419799,0.4160165688643424,0.010692788264554252,,,
cub200,S11,legacy,tv_in1k,sgd,0.01,0.0001,0.8125302036589576,0.0038387732897545526,0.3782533655505695,0.0027414487690110025,0.434276838108388,0.004029947910996543,0.02526751812219539,0.020005986074860337,0.03052905016953044
cub200,S12,proper,a1_in1k,adamw,0.001,0.05,0.8187435277873663,0.0016070561749374729,0.3916465308940283,0.012157902082416568,0.42709699689333797,0.010579361208281813,0.03148084225060408,0.026064475643906,0.03689720885730216
cub200,S13,sgd,a1_in1k,sgd,0.01,0.0001,0.7525371073524335,0.002977905600093054,0.3455988954090438,0.003633878268687489,0.40693821194338964,0.0050102339571580674,-0.03472557818432862,-0.037290045138734074,-0.03216111122992317
cub200,S2,ConvNeXt-T reference,fb_in1k,adamw,0.0001,0.05,0.8374525371073525,0.003407114368594137,0.4210907835692095,0.003708527009900555,0.4163617535381429,0.004180869017228751,,,
