dataset,backbone,metric,diff_noneq_minus_eq,ci_lo,ci_hi
flowers102,ConvNeXt-T,clean_acc,0.06020491136770208,0.05247810912423774,0.06793171361116641
flowers102,ConvNeXt-T,gray_acc,0.1513742071881607,0.09592345479893583,0.20682495957738556
flowers102,ConvNeXt-T,CR,-0.09116929582045863,-0.14328128951853775,-0.039057302122379504
flowers102,ViT-S,clean_acc,0.09224264107985039,0.08368097658470301,0.10080430557499777
flowers102,ViT-S,gray_acc,0.3731013172873638,0.32179765216968104,0.42440498240504654
flowers102,ViT-S,CR,-0.2808586762075135,-0.32914345858628363,-0.23257389382874336
cub200,ConvNeXt-T,clean_acc,0.049154297549188854,0.041705348326059245,0.05660324677231846
cub200,ConvNeXt-T,gray_acc,0.10586813945460823,0.09456121180040887,0.11717506710880758
cub200,ConvNeXt-T,CR,-0.05671384190541937,-0.07050395174795551,-0.042923732062883226
cub200,ViT-S,clean_acc,0.054711770797376616,0.05190531852818498,0.05751822306656825
cub200,ViT-S,gray_acc,0.12923714187090093,0.11448888765676489,0.143985396085037
cub200,ViT-S,CR,-0.07452537107352433,-0.08855632322615561,-0.06049441892089305
