dataset,arm,backbone,bin,n_seeds,acc_mean,acc_sd
cub200,resnet50,ResNet-50,low,5,0.7604145077720206,0.002989956071762413
cub200,resnet50,ResNet-50,mid,5,0.7998965873836609,0.00424810670247027
cub200,resnet50,ResNet-50,high,5,0.8014507772020727,0.006809086632538646
cub200,convnext_tiny_in1k,ConvNeXt-T,low,5,0.8124352331606218,0.004634337777201641
cub200,convnext_tiny_in1k,ConvNeXt-T,mid,5,0.8522233712512927,0.0070080647923805185
cub200,convnext_tiny_in1k,ConvNeXt-T,high,5,0.8476683937823835,0.0053470900105052665
cub200,vit_small_in1k,ViT-S,low,5,0.7682901554404145,0.010155969109638651
cub200,vit_small_in1k,ViT-S,mid,5,0.8111685625646328,0.004616073241089074
cub200,vit_small_in1k,ViT-S,high,5,0.8059067357512953,0.005404520128665408
cub200,swin_tiny,Swin-T,low,5,0.8218652849740933,0.006102122495518043
cub200,swin_tiny,Swin-T,mid,5,0.8582213029989658,0.0026966711086670765
cub200,swin_tiny,Swin-T,high,5,0.8602072538860103,0.009450811289821275
