dataset,arm,backbone,bin,n_seeds,acc_mean,acc_sd
flowers102,resnet50,ResNet-50,low,5,0.85986328125,0.006532757890751783
flowers102,resnet50,ResNet-50,mid,5,0.8632245494398442,0.004181622217503121
flowers102,resnet50,ResNet-50,high,5,0.8244140625,0.005010536536080196
flowers102,convnext_tiny_in1k,ConvNeXt-T,low,5,0.94296875,0.007989033334858998
flowers102,convnext_tiny_in1k,ConvNeXt-T,mid,5,0.9371651242084754,0.005855243682499365
flowers102,convnext_tiny_in1k,ConvNeXt-T,high,5,0.90869140625,0.007461282612273499
flowers102,vit_small_in1k,ViT-S,low,5,0.8986328125,0.0039907845198637795
flowers102,vit_small_in1k,ViT-S,mid,5,0.8888455918168534,0.007438327976160183
flowers102,vit_small_in1k,ViT-S,high,5,0.84150390625,0.008174883957718787
flowers102,swin_tiny,Swin-T,low,5,0.95341796875,0.001319263289658818
flowers102,swin_tiny,Swin-T,mid,5,0.946614710180224,0.004551118802454198
flowers102,swin_tiny,Swin-T,high,5,0.909375,0.006814979032174962
