dataset,backbone,baseline,bin,n_seeds,gap_mean,gap_sd,trend_mean,trend_sd
cub200,ViT-S,ResNet-50,low,5,0.007875647668393836,0.010545028024779447,,
cub200,ViT-S,ResNet-50,mid,5,0.011271975180972093,0.004869735130494776,,
cub200,ViT-S,ResNet-50,high,5,0.004455958549222783,0.006621185927763681,-0.003419689119171054,0.016469024191463254
cub200,ViT-S,ConvNeXt-T,low,5,-0.04414507772020719,0.009921975400842446,,
cub200,ViT-S,ConvNeXt-T,mid,5,-0.041054808686659824,0.008245494576080948,,
cub200,ViT-S,ConvNeXt-T,high,5,-0.04176165803108809,0.005367135404177661,0.002383419689119104,0.012176716997776641
cub200,Swin-T,ResNet-50,low,5,0.06145077720207259,0.0036929595194207963,,
cub200,Swin-T,ResNet-50,mid,5,0.058324715615305146,0.006472588965164888,,
cub200,Swin-T,ResNet-50,high,5,0.0587564766839378,0.013263641501645955,-0.0026943005181347957,0.011157354677416822
cub200,Swin-T,ConvNeXt-T,low,5,0.009430051813471563,0.009867712071359936,,
cub200,Swin-T,ConvNeXt-T,mid,5,0.005997931747673224,0.008122993541532786,,
cub200,Swin-T,ConvNeXt-T,high,5,0.012538860103626925,0.012656706519682245,0.0031088082901553626,0.016315074086874368
