dataset,backbone,baseline,bin,n_seeds,gap_mean,gap_sd,trend_mean,trend_sd
flowers102,ViT-S,ResNet-50,low,5,0.03876953125,0.008412052916936731,,
flowers102,ViT-S,ResNet-50,mid,5,0.02562104237700926,0.006011197571933709,,
flowers102,ViT-S,ResNet-50,high,5,0.01708984375,0.008755088416523978,-0.0216796875,0.01528796039677176
flowers102,ViT-S,ConvNeXt-T,low,5,-0.0443359375,0.009286334048537946,,
flowers102,ViT-S,ConvNeXt-T,mid,5,-0.04831953239162199,0.009978850937114488,,
flowers102,ViT-S,ConvNeXt-T,high,5,-0.0671875,0.008167589511760321,-0.0228515625,0.011416805034457942
flowers102,Swin-T,ResNet-50,low,5,0.0935546875,0.0060357566954540795,,
flowers102,Swin-T,ResNet-50,mid,5,0.08339016074038,0.00787222751128572,,
flowers102,Swin-T,ResNet-50,high,5,0.0849609375,0.009759519575833342,-0.00859375,0.01085588797150663
flowers102,Swin-T,ConvNeXt-T,low,5,0.01044921875,0.007809447645908108,,
flowers102,Swin-T,ConvNeXt-T,mid,5,0.009449585971748742,0.00837033373392686,,
flowers102,Swin-T,ConvNeXt-T,high,5,0.00068359375,0.007694110292354664,-0.009765625,0.009796095042841249
