dataset,id,backbone,condition,kind,param,acc_mean,acc_sd,n_seed
flowers102,S1,ResNet-50,clean,clean,0,0.8491787282484957,0.003089077266699313,5
flowers102,S1,ResNet-50,grayscale,grayscale,,0.49874776386404296,0.01730992271281907,5
flowers102,S1,ResNet-50,hue_+0.083,hue,0.083,0.7586274190925353,0.012805037195506299,5
flowers102,S1,ResNet-50,hue_+0.250,hue,0.25,0.5584973166368515,0.014605503705656393,5
flowers102,S1,ResNet-50,hue_+0.500,hue,0.5,0.5185558627419092,0.01845509754147583,5
flowers102,S1,ResNet-50,hue_-0.083,hue,-0.083,0.7766791348186698,0.007244163264325738,5
flowers102,S1,ResNet-50,hue_-0.250,hue,-0.25,0.5436005854610506,0.014230931825386199,5
flowers102,S1,ResNet-50,hue_-0.500,hue,-0.5,0.5185558627419092,0.01845509754147583,5
flowers102,S1,ResNet-50,quant_16,quant,16,0.7840624491787282,0.01896950298994448,5
flowers102,S1,ResNet-50,quant_2,quant,2,0.08723369653602205,0.08930469863078805,5
flowers102,S1,ResNet-50,quant_4,quant,4,0.508212717515043,0.07495584007278148,5
flowers102,S1,ResNet-50,quant_8,quant,8,0.6970564319401529,0.03697087256545371,5
flowers102,S1,ResNet-50,shuffle_021,shuffle,"(0, 2, 1)",0.6478777036916572,0.015645462680574908,5
flowers102,S1,ResNet-50,shuffle_102,shuffle,"(1, 0, 2)",0.6944218572125549,0.019772858151724935,5
flowers102,S1,ResNet-50,shuffle_120,shuffle,"(1, 2, 0)",0.5140673280208163,0.016128900657950817,5
flowers102,S1,ResNet-50,shuffle_201,shuffle,"(2, 0, 1)",0.5520572450805009,0.019476570095492977,5
flowers102,S1,ResNet-50,shuffle_210,shuffle,"(2, 1, 0)",0.5409009595056107,0.015232443349711947,5
flowers102,S2,ConvNeXt-T,clean,clean,0,0.9296145714750365,0.005367219086666247,5
flowers102,S2,ConvNeXt-T,grayscale,grayscale,,0.67601235973329,0.0220468726591694,5
flowers102,S2,ConvNeXt-T,hue_+0.083,hue,0.083,0.8633273703041147,0.015098420111365632,5
flowers102,S2,ConvNeXt-T,hue_+0.250,hue,0.25,0.7019027484143763,0.03973719625555338,5
flowers102,S2,ConvNeXt-T,hue_+0.500,hue,0.5,0.716148967311758,0.05071918189736042,5
flowers102,S2,ConvNeXt-T,hue_-0.083,hue,-0.083,0.8663847780126851,0.013406018808006707,5
flowers102,S2,ConvNeXt-T,hue_-0.250,hue,-0.25,0.6004228329809725,0.05144383678626426,5
flowers102,S2,ConvNeXt-T,hue_-0.500,hue,-0.5,0.716148967311758,0.05071918189736042,5
flowers102,S2,ConvNeXt-T,quant_16,quant,16,0.9057732964709709,0.009069777793829593,5
flowers102,S2,ConvNeXt-T,quant_2,quant,2,0.6536672629695885,0.025079178280635526,5
flowers102,S2,ConvNeXt-T,quant_4,quant,4,0.777297121483168,0.030249826425913423,5
flowers102,S2,ConvNeXt-T,quant_8,quant,8,0.8388681086355506,0.03459019140026348,5
flowers102,S2,ConvNeXt-T,shuffle_021,shuffle,"(0, 2, 1)",0.7296470970889576,0.04564471921464856,5
flowers102,S2,ConvNeXt-T,shuffle_102,shuffle,"(1, 0, 2)",0.8199707269474711,0.026980334941123767,5
flowers102,S2,ConvNeXt-T,shuffle_120,shuffle,"(1, 2, 0)",0.5919661733615221,0.062133394313448186,5
flowers102,S2,ConvNeXt-T,shuffle_201,shuffle,"(2, 0, 1)",0.7042120670027647,0.03814475953856561,5
flowers102,S2,ConvNeXt-T,shuffle_210,shuffle,"(2, 1, 0)",0.7075622052366238,0.054906593771889216,5
flowers102,S3,ViT-S,clean,clean,0,0.8763376158724997,0.005483243587675783,5
flowers102,S3,ViT-S,grayscale,grayscale,,0.34099853634737354,0.01132012861658913,5
flowers102,S3,ViT-S,hue_+0.083,hue,0.083,0.7204098227354041,0.023324630046131493,5
flowers102,S3,ViT-S,hue_+0.250,hue,0.25,0.37511790535046347,0.010156510304131066,5
flowers102,S3,ViT-S,hue_+0.500,hue,0.5,0.44758497316636847,0.02091538605966057,5
flowers102,S3,ViT-S,hue_-0.083,hue,-0.083,0.717970401691332,0.014039993107872836,5
flowers102,S3,ViT-S,hue_-0.250,hue,-0.25,0.31813302976093666,0.008677697253729846,5
