dataset,backbone,bin,n_seed,clean,clean_sd,gray,gray_sd,CR,CR_sd
cub200,ResNet-50,low,5,0.7472538860103627,0.0031601970325340948,0.4818652849740932,0.008043613832259098,0.26538860103626943,0.01080904025733086
cub200,ResNet-50,mid,5,0.8012409513960701,0.0037214176247045722,0.3884177869700104,0.012814404720633334,0.41282316442605993,0.012857103899753117
cub200,ResNet-50,high,5,0.8132642487046631,0.006467350788240423,0.24341968911917097,0.005866603048587841,0.5698445595854922,0.01198113007126789
cub200,ConvNeXt-T,low,5,0.8042487046632125,0.0052123425243354405,0.5699481865284974,0.007959736526288723,0.23430051813471503,0.004726115751706287
cub200,ConvNeXt-T,mid,5,0.8505687693898656,0.007238883143743546,0.4434332988624612,0.006025504501326658,0.4071354705274044,0.004775491164020204
cub200,ConvNeXt-T,high,5,0.8575129533678757,0.004319516062314267,0.2498445595854922,0.006232710521739102,0.6076683937823835,0.007211199346199736
cub200,ViT-S,low,5,0.7577202072538861,0.008486977041095887,0.421139896373057,0.011072818896616623,0.336580310880829,0.013701700023443958
cub200,ViT-S,mid,5,0.8107549120992761,0.004795045757753731,0.3078593588417787,0.008342200320472865,0.5028955532574975,0.010129686749738869
cub200,ViT-S,high,5,0.8168911917098445,0.006966937332216206,0.16497409326424867,0.011478759797759985,0.6519170984455959,0.012908731382879056
cub200,Swin-T,low,5,0.8126424870466321,0.00628845654857982,0.5439378238341968,0.021333060393611353,0.26870466321243525,0.01984056832926492
cub200,Swin-T,mid,5,0.858221302998966,0.0018426607736510324,0.43898655635987593,0.025499127209799285,0.41923474663909,0.024919543957966427
cub200,Swin-T,high,5,0.8694300518134715,0.00607566808267283,0.2681865284974093,0.01734242635676015,0.6012435233160621,0.01790603409678864
