dataset,backbone,bin,n_seed,clean,clean_sd,gray,gray_sd,CR,CR_sd
flowers102,ResNet-50,low,5,0.85654296875,0.006795710321369846,0.6908203125,0.014182868369550225,0.16572265625,0.01006380705311582
flowers102,ResNet-50,mid,5,0.8487092060399416,0.004112972592807509,0.49693132001948365,0.019560855443026992,0.3517778860204579,0.018213596015346854
flowers102,ResNet-50,high,5,0.84228515625,0.003504077171486163,0.30849609375,0.02586139590385065,0.5337890625,0.026365831128307444
flowers102,ConvNeXt-T,low,5,0.941015625,0.009196035559268146,0.82470703125,0.02289200814400594,0.11630859375,0.014662265608557188
flowers102,ConvNeXt-T,mid,5,0.9320993667803215,0.007644397407736719,0.6781295664880662,0.015709757288111567,0.25396980029225524,0.012126538127326829
flowers102,ConvNeXt-T,high,5,0.91572265625,0.006592701037527399,0.5251953125,0.05345798925029877,0.39052734375,0.053962700076745175
flowers102,ViT-S,low,5,0.89404296875,0.004461832734984635,0.49130859375,0.020471158650325984,0.402734375,0.01729577379589391
flowers102,ViT-S,mid,5,0.8791037506088651,0.010866629776470453,0.32401363857769117,0.019600235892776298,0.5550901120311739,0.02762846966547432
flowers102,ViT-S,high,5,0.855859375,0.006053506059128888,0.20771484375,0.0321090869008897,0.64814453125,0.031806941957718285
flowers102,Swin-T,low,5,0.94970703125,0.0018593196059238058,0.7984375,0.023293114013833056,0.15126953125,0.021446610986417747
flowers102,Swin-T,mid,5,0.9413541159279104,0.005138763524560337,0.6640038967364832,0.026472456426366267,0.27735021919142716,0.03104538478885451
flowers102,Swin-T,high,5,0.918359375,0.00659089258843631,0.49375,0.049181339639147406,0.424609375,0.051363149273895965
