dataset,id,backbone,arm,y_true,n_img,n_seed,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd
cub200,S1,ResNet-50,resnet50,0,30,5,0.8133333333333332,0.029814239699997188,0.58,0.0869226987360353,0.2333333333333334,0.09999999999999998
cub200,S1,ResNet-50,resnet50,1,30,5,0.7866666666666667,0.050552502960343686,0.6199999999999999,0.09006170724070862,0.1666666666666667,0.10274023338281625
cub200,S1,ResNet-50,resnet50,2,28,5,0.8285714285714285,0.029880715233359827,0.8714285714285713,0.05976143046671971,-0.042857142857142885,0.04656573146573324
cub200,S1,ResNet-50,resnet50,3,30,5,0.8333333333333334,0.0666666666666667,0.42666666666666664,0.08944271909999159,0.4066666666666666,0.04346134936801766
cub200,S1,ResNet-50,resnet50,4,14,5,0.9142857142857143,0.03194382824999703,0.2857142857142857,0.1336306209562122,0.6285714285714286,0.1173691194653927
cub200,S1,ResNet-50,resnet50,5,11,5,0.8,0.0406557814090871,0.8,0.07606000241218867,2.2204460492503132e-17,0.09090909090909091
cub200,S1,ResNet-50,resnet50,6,23,5,0.9478260869565217,0.03637652289278592,0.7478260869565216,0.07777627747825357,0.2,0.049572844569527735
cub200,S1,ResNet-50,resnet50,7,18,5,0.8444444444444444,0.06085806194501843,0.5777777777777777,0.1009216784699164,0.26666666666666666,0.12044157438154886
cub200,S1,ResNet-50,resnet50,8,29,5,0.5103448275862069,0.05666095422467235,0.48275862068965514,0.03448275862068967,0.027586206896551703,0.0892564076244468
cub200,S1,ResNet-50,resnet50,9,30,5,0.8933333333333333,0.027888667551135844,0.03333333333333333,0.04082482904638631,0.86,0.06411794687223779
cub200,S1,ResNet-50,resnet50,10,30,5,0.5666666666666667,0.07817359599705714,0.4533333333333333,0.05055250296034366,0.11333333333333331,0.09603240193925286
cub200,S1,ResNet-50,resnet50,11,26,5,0.9230769230769231,0.0,0.046153846153846156,0.017200522903844537,0.876923076923077,0.017200522903844526
cub200,S1,ResNet-50,resnet50,12,30,5,0.9066666666666666,0.014907119849998594,0.8400000000000001,0.059628479399994376,0.06666666666666665,0.07071067811865474
cub200,S1,ResNet-50,resnet50,13,30,5,0.8800000000000001,0.05055250296034366,0.0,0.0,0.8800000000000001,0.05055250296034366
cub200,S1,ResNet-50,resnet50,14,28,5,0.95,0.019561519910898783,0.014285714285714285,0.031943828249996996,0.9357142857142857,0.04656573146573319
cub200,S1,ResNet-50,resnet50,15,28,5,0.9142857142857143,0.019561519910898783,0.0,0.0,0.9142857142857143,0.019561519910898783
cub200,S1,ResNet-50,resnet50,16,27,5,0.9111111111111111,0.04222871944811621,0.3333333333333333,0.09799078929868854,0.5777777777777777,0.09658077637337259
cub200,S1,ResNet-50,resnet50,17,15,5,0.9866666666666667,0.029814239699997188,0.5333333333333333,0.04714045207910316,0.4533333333333333,0.05577733510227169
cub200,S1,ResNet-50,resnet50,18,29,5,0.8482758620689654,0.03084231693103159,0.0896551724137931,0.10794810925861052,0.7586206896551724,0.08086923723833499
cub200,S1,ResNet-50,resnet50,19,29,5,0.7448275862068965,0.039316393968935784,0.0,0.0,0.7448275862068965,0.039316393968935784
cub200,S1,ResNet-50,resnet50,20,30,5,0.9400000000000001,0.04944132324730441,0.2733333333333333,0.0547722557505166,0.6666666666666666,0.07453559924999302
cub200,S1,ResNet-50,resnet50,21,26,5,0.6230769230769231,0.06880209161537815,0.2076923076923077,0.12343697335293241,0.4153846153846154,0.13706561293234973
cub200,S1,ResNet-50,resnet50,22,29,5,0.5241379310344827,0.07066862597213514,0.4206896551724138,0.05114619646272871,0.10344827586206895,0.07314897736412558
cub200,S1,ResNet-50,resnet50,23,22,5,0.8818181818181818,0.04065578140908705,0.19090909090909092,0.07468943965979538,0.6909090909090909,0.10365231137264887
cub200,S1,ResNet-50,resnet50,24,30,5,0.5333333333333333,0.09128709291752767,0.6866666666666666,0.038005847503304595,-0.1533333333333333,0.11690451944500119
cub200,S1,ResNet-50,resnet50,25,30,5,0.9133333333333333,0.018257418583505533,0.0,0.0,0.9133333333333333,0.018257418583505533
cub200,S1,ResNet-50,resnet50,26,30,5,0.36,0.07226494462892934,0.2866666666666667,0.0960324019392529,0.07333333333333332,0.12110601416389967
cub200,S1,ResNet-50,resnet50,27,29,5,0.8689655172413794,0.015421158465515823,0.8482758620689654,0.030842316931031545,0.02068965517241379,0.04626347539654736
cub200,S1,ResNet-50,resnet50,28,30,5,0.38,0.06497862896539311,0.24,0.14414498873626436,0.14,0.09249624617007739
cub200,S1,ResNet-50,resnet50,29,30,5,0.44000000000000006,0.08628119403696524,0.52,0.13457752825457564,-0.07999999999999999,0.10697871023920806
cub200,S1,ResNet-50,resnet50,30,30,5,0.78,0.06497862896539312,0.37333333333333335,0.151657508881031,0.4066666666666666,0.1816590212458495
cub200,S1,ResNet-50,resnet50,31,23,5,0.6608695652173913,0.019444069369563374,0.21739130434782608,0.08134037797334655,0.4434782608695652,0.08910391970399649
cub200,S1,ResNet-50,resnet50,32,29,5,0.6482758620689655,0.06632891055748741,0.30344827586206896,0.14507368253767333,0.3448275862068965,0.14831595288004532
cub200,S1,ResNet-50,resnet50,33,29,5,0.9379310344827587,0.028850345742554347,0.3103448275862069,0.08791412954470318,0.6275862068965518,0.09252695079309474
