dataset,id,backbone,arm,y_true,n_img,n_seed,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd
flowers102,S1,ResNet-50,resnet50,0,20,5,0.93,0.04472135954999577,0.63,0.16807736313971608,0.3,0.17677669529663684
flowers102,S1,ResNet-50,resnet50,1,40,5,0.925,0.017677669529663664,0.8949999999999999,0.020916500663351906,0.030000000000000006,0.011180339887498971
flowers102,S1,ResNet-50,resnet50,2,20,5,0.47000000000000003,0.0273861278752583,0.45999999999999996,0.11937336386313323,0.009999999999999998,0.12942179105544785
flowers102,S1,ResNet-50,resnet50,3,36,5,0.4,0.07243558228002943,0.24444444444444446,0.04564354645876385,0.15555555555555556,0.08002700161604408
flowers102,S1,ResNet-50,resnet50,4,45,5,0.8177777777777777,0.05533288710217214,0.017777777777777778,0.03975231959999626,0.8,0.09162456945817024
flowers102,S1,ResNet-50,resnet50,5,25,5,0.96,0.0,0.8,0.05656854249492379,0.15999999999999998,0.056568542494923796
flowers102,S1,ResNet-50,resnet50,6,20,5,0.95,0.0,0.9,0.03535533905932737,0.049999999999999954,0.03535533905932737
flowers102,S1,ResNet-50,resnet50,7,65,5,1.0,0.0,0.8800000000000001,0.06380443493331608,0.12,0.06380443493331607
flowers102,S1,ResNet-50,resnet50,8,26,5,0.9076923076923077,0.043852900965351486,0.38461538461538464,0.06081303192631499,0.5230769230769231,0.10029542161850233
flowers102,S1,ResNet-50,resnet50,9,25,5,0.984,0.03577708763999662,0.968,0.017888543819998333,0.016000000000000035,0.035777087639996624
flowers102,S1,ResNet-50,resnet50,10,67,5,0.5731343283582089,0.040326137570466554,0.32537313432835824,0.05422657350622373,0.2477611940298507,0.05644080716772846
flowers102,S1,ResNet-50,resnet50,11,67,5,0.9402985074626866,0.010553832555023089,0.6985074626865672,0.1482804084420274,0.24179104477611943,0.13937453767079108
flowers102,S1,ResNet-50,resnet50,12,29,5,1.0,0.0,0.8758620689655172,0.04626347539654738,0.12413793103448276,0.04626347539654737
flowers102,S1,ResNet-50,resnet50,13,28,5,0.9714285714285715,0.01597191412499849,1.0,0.0,-0.02857142857142856,0.01597191412499849
flowers102,S1,ResNet-50,resnet50,14,29,5,0.9862068965517242,0.01888698474155743,0.26206896551724135,0.08304547985373996,0.7241379310344828,0.09443492370778724
flowers102,S1,ResNet-50,resnet50,15,21,5,0.9142857142857143,0.021295885499997967,0.0,0.0,0.9142857142857143,0.021295885499997967
flowers102,S1,ResNet-50,resnet50,16,65,5,0.9723076923076924,0.012871692715908862,0.8430769230769231,0.04405483404085034,0.12923076923076926,0.040118168647400934
flowers102,S1,ResNet-50,resnet50,17,62,5,0.8483870967741935,0.018389926211276404,0.7774193548387096,0.08863633331634893,0.07096774193548391,0.09166627250569562
flowers102,S1,ResNet-50,resnet50,18,29,5,0.8068965517241379,0.04626347539654738,0.6413793103448275,0.06264104180891363,0.16551724137931031,0.06632891055748741
flowers102,S1,ResNet-50,resnet50,19,36,5,0.8166666666666667,0.0541488574711609,0.7722222222222223,0.06022078719077447,0.04444444444444444,0.05414885747116092
flowers102,S1,ResNet-50,resnet50,20,20,5,0.8300000000000001,0.04472135954999579,0.39,0.13874436925511607,0.44000000000000006,0.1781852968120546
flowers102,S1,ResNet-50,resnet50,21,39,5,0.9025641025641026,0.03343180720616745,0.8512820512820513,0.0555884189453303,0.05128205128205132,0.04054202128421002
flowers102,S1,ResNet-50,resnet50,22,71,5,0.8507042253521127,0.032424970234426295,0.8,0.030534483646026494,0.05070422535211268,0.016058808804213218
flowers102,S1,ResNet-50,resnet50,23,22,5,0.9272727272727274,0.040655781409087106,0.4636363636363637,0.07468943965979535,0.4636363636363637,0.10365231137264891
flowers102,S1,ResNet-50,resnet50,24,21,5,0.980952380952381,0.02608202654786508,0.8476190476190476,0.062087641954310956,0.13333333333333333,0.03984095364447979
flowers102,S1,ResNet-50,resnet50,25,21,5,0.8666666666666666,0.07824607964359516,0.009523809523809523,0.021295885499997995,0.8571428571428571,0.09523809523809525
flowers102,S1,ResNet-50,resnet50,26,20,5,1.0,0.0,0.62,0.13509256086106297,0.38,0.13509256086106297
flowers102,S1,ResNet-50,resnet50,27,46,5,0.9347826086956521,0.034372583262699805,0.21304347826086953,0.04181605230798117,0.7217391304347827,0.04957284456952772
flowers102,S1,ResNet-50,resnet50,28,58,5,0.9379310344827587,0.023131737698273678,0.4793103448275862,0.08304547985373996,0.45862068965517244,0.0786327879378716
flowers102,S1,ResNet-50,resnet50,29,65,5,0.6492307692307693,0.055895083460261404,0.316923076923077,0.10297354172727084,0.3323076923076923,0.06845721680395997
