dataset,backbone,baseline,bin,n_seeds,gap_mean,gap_sd
flowers102,ViT-S,ResNet-50,low,5,0.03876953125,0.008412052916936731
flowers102,ViT-S,ResNet-50,mid,5,0.02562104237700926,0.006011197571933709
flowers102,ViT-S,ResNet-50,high,5,0.01708984375,0.008755088416523978
flowers102,ViT-S,ConvNeXt-T,low,5,-0.0443359375,0.009286334048537946
flowers102,ViT-S,ConvNeXt-T,mid,5,-0.04831953239162199,0.009978850937114488
flowers102,ViT-S,ConvNeXt-T,high,5,-0.0671875,0.008167589511760321
flowers102,Swin-T,ResNet-50,low,5,0.0935546875,0.0060357566954540795
flowers102,Swin-T,ResNet-50,mid,5,0.08339016074038,0.00787222751128572
flowers102,Swin-T,ResNet-50,high,5,0.0849609375,0.009759519575833342
flowers102,Swin-T,ConvNeXt-T,low,5,0.01044921875,0.007809447645908108
flowers102,Swin-T,ConvNeXt-T,mid,5,0.009449585971748742,0.00837033373392686
flowers102,Swin-T,ConvNeXt-T,high,5,0.00068359375,0.007694110292354664
cub200,ViT-S,ResNet-50,low,5,0.007875647668393836,0.010545028024779447
cub200,ViT-S,ResNet-50,mid,5,0.011271975180972093,0.004869735130494776
cub200,ViT-S,ResNet-50,high,5,0.004455958549222783,0.006621185927763681
cub200,ViT-S,ConvNeXt-T,low,5,-0.04414507772020719,0.009921975400842446
cub200,ViT-S,ConvNeXt-T,mid,5,-0.041054808686659824,0.008245494576080948
cub200,ViT-S,ConvNeXt-T,high,5,-0.04176165803108809,0.005367135404177661
cub200,Swin-T,ResNet-50,low,5,0.06145077720207259,0.0036929595194207963
cub200,Swin-T,ResNet-50,mid,5,0.058324715615305146,0.006472588965164888
cub200,Swin-T,ResNet-50,high,5,0.0587564766839378,0.013263641501645955
cub200,Swin-T,ConvNeXt-T,low,5,0.009430051813471563,0.009867712071359936
cub200,Swin-T,ConvNeXt-T,mid,5,0.005997931747673224,0.008122993541532786
cub200,Swin-T,ConvNeXt-T,high,5,0.012538860103626925,0.012656706519682245
