dataset,id,arm,n_seeds,clean_mean,clean_sd,CR_mean,CR_sd
flowers102,S1,resnet50,5,0.8491787282484957,0.003089077266699313,0.3504309643844528,0.0150483259997933
flowers102,S12,resnet50_adamw_lr1e3,5,0.9075947308505448,0.006172801123962733,0.31016425435030087,0.02109136218945282
flowers102,S13,resnet50_sgd,5,0.7660107334525939,0.0053487084007822925,0.3867295495202473,0.014467044265729671
flowers102,S11,resnet50_tv_sgd,5,0.9201821434379575,0.002016194569701731,0.25041470157749235,0.011787674688511454
flowers102,S2,convnext_tiny_in1k,5,0.9296145714750365,0.005367219086666247,0.25360221174174663,0.02154057741678515
cub200,S1,resnet50,5,0.7872626855367622,0.0029049910345075513,0.4160165688643424,0.010692788264554252
cub200,S12,resnet50_adamw_lr1e3,5,0.8187435277873663,0.0016070561749374729,0.42709699689333797,0.010579361208281813
cub200,S13,resnet50_sgd,5,0.7525371073524335,0.002977905600093054,0.40693821194338964,0.0050102339571580674
cub200,S11,resnet50_tv_sgd,5,0.8125302036589576,0.0038387732897545526,0.434276838108388,0.004029947910996543
cub200,S2,convnext_tiny_in1k,5,0.8374525371073525,0.003407114368594137,0.4163617535381429,0.004180869017228751
