dataset,condition,n_test_images,mean_luminance_clean,delta_mean_luminance,mean_abs_delta_luminance
flowers102,hue_-0.500,6149,0.433,-0.0304,0.1138
flowers102,hue_-0.250,6149,0.433,-0.0575,0.0748
flowers102,hue_-0.083,6149,0.433,-0.0257,0.0451
flowers102,hue_+0.083,6149,0.433,0.0199,0.0434
flowers102,hue_+0.250,6149,0.433,0.0271,0.0659
flowers102,hue_+0.500,6149,0.433,-0.0304,0.1138
flowers102,grayscale,6149,0.433,-0.0,0.0
cub200,hue_-0.500,5794,0.4821,-0.0404,0.0613
cub200,hue_-0.250,5794,0.4821,-0.0309,0.0481
cub200,hue_-0.083,5794,0.4821,-0.0093,0.033
cub200,hue_+0.083,5794,0.4821,-0.0047,0.0281
cub200,hue_+0.250,5794,0.4821,-0.0095,0.0195
cub200,hue_+0.500,5794,0.4821,-0.0404,0.0613
cub200,grayscale,5794,0.4821,-0.0,0.0
