dataset,backbone,baseline,bin,seed,gap
cub200,ViT-S,ResNet-50,low,0,0.013989637305699576
cub200,ViT-S,ResNet-50,low,1,-0.008290155440414448
cub200,ViT-S,ResNet-50,low,2,0.002590673575129543
cub200,ViT-S,ResNet-50,low,3,0.016062176165803188
cub200,ViT-S,ResNet-50,low,4,0.015025906735751327
cub200,ViT-S,ResNet-50,mid,0,0.01499482936918306
cub200,ViT-S,ResNet-50,mid,1,0.012409513960703222
cub200,ViT-S,ResNet-50,mid,2,0.00879007238883145
cub200,ViT-S,ResNet-50,mid,3,0.004136504653567741
cub200,ViT-S,ResNet-50,mid,4,0.016028955532574996
cub200,ViT-S,ResNet-50,high,0,-0.0036269430051814044
cub200,ViT-S,ResNet-50,high,1,0.010880829015543991
cub200,ViT-S,ResNet-50,high,2,0.011398963730569922
cub200,ViT-S,ResNet-50,high,3,0.0
cub200,ViT-S,ResNet-50,high,4,0.0036269430051814044
cub200,ViT-S,ConvNeXt-T,low,0,-0.042487046632124326
cub200,ViT-S,ConvNeXt-T,low,1,-0.059067357512953333
cub200,ViT-S,ConvNeXt-T,low,2,-0.041450777202072464
cub200,ViT-S,ConvNeXt-T,low,3,-0.04611398963730562
cub200,ViT-S,ConvNeXt-T,low,4,-0.03160621761658022
cub200,ViT-S,ConvNeXt-T,mid,0,-0.04498448810754918
cub200,ViT-S,ConvNeXt-T,mid,1,-0.039813857290589505
cub200,ViT-S,ConvNeXt-T,mid,2,-0.048603929679420954
cub200,ViT-S,ConvNeXt-T,mid,3,-0.04446742502585321
cub200,ViT-S,ConvNeXt-T,mid,4,-0.027404343329886283
cub200,ViT-S,ConvNeXt-T,high,0,-0.04870466321243527
cub200,ViT-S,ConvNeXt-T,high,1,-0.03575129533678756
cub200,ViT-S,ConvNeXt-T,high,2,-0.040932642487046644
cub200,ViT-S,ConvNeXt-T,high,3,-0.0455958549222798
cub200,ViT-S,ConvNeXt-T,high,4,-0.03782383419689117
cub200,Swin-T,ResNet-50,low,0,0.0564766839378239
cub200,Swin-T,ResNet-50,low,1,0.06165803108808299
cub200,Swin-T,ResNet-50,low,2,0.06683937823834196
cub200,Swin-T,ResNet-50,low,3,0.06165803108808299
cub200,Swin-T,ResNet-50,low,4,0.060621761658031126
cub200,Swin-T,ResNet-50,mid,0,0.06463288521199595
cub200,Swin-T,ResNet-50,mid,1,0.06514994829369192
cub200,Swin-T,ResNet-50,mid,2,0.05170630816959676
cub200,Swin-T,ResNet-50,mid,3,0.05222337125129273
cub200,Swin-T,ResNet-50,mid,4,0.05791106514994837
cub200,Swin-T,ResNet-50,high,0,0.03989637305699478
cub200,Swin-T,ResNet-50,high,1,0.0585492227979274
cub200,Swin-T,ResNet-50,high,2,0.06424870466321242
cub200,Swin-T,ResNet-50,high,3,0.07616580310880827
cub200,Swin-T,ResNet-50,high,4,0.05492227979274611
cub200,Swin-T,ConvNeXt-T,low,0,0.0
cub200,Swin-T,ConvNeXt-T,low,1,0.010880829015544102
cub200,Swin-T,ConvNeXt-T,low,2,0.022797927461139955
cub200,Swin-T,ConvNeXt-T,low,3,-0.0005181347150258198
cub200,Swin-T,ConvNeXt-T,low,4,0.013989637305699576
cub200,Swin-T,ConvNeXt-T,mid,0,0.004653567735263708
cub200,Swin-T,ConvNeXt-T,mid,1,0.01292657704239919
cub200,Swin-T,ConvNeXt-T,mid,2,-0.0056876938986556436
cub200,Swin-T,ConvNeXt-T,mid,3,0.003619441571871773
cub200,Swin-T,ConvNeXt-T,mid,4,0.014477766287487093
cub200,Swin-T,ConvNeXt-T,high,0,-0.005181347150259086
cub200,Swin-T,ConvNeXt-T,high,1,0.011917098445595853
cub200,Swin-T,ConvNeXt-T,high,2,0.011917098445595853
cub200,Swin-T,ConvNeXt-T,high,3,0.030569948186528473
cub200,Swin-T,ConvNeXt-T,high,4,0.013471502590673534
