dataset,backbone,baseline,bin,seed,gap
flowers102,ViT-S,ResNet-50,low,0,0.04736328125
flowers102,ViT-S,ResNet-50,low,1,0.03076171875
flowers102,ViT-S,ResNet-50,low,2,0.04443359375
flowers102,ViT-S,ResNet-50,low,3,0.04248046875
flowers102,ViT-S,ResNet-50,low,4,0.02880859375
flowers102,ViT-S,ResNet-50,mid,0,0.020944958597174823
flowers102,ViT-S,ResNet-50,mid,1,0.022893326838772543
flowers102,ViT-S,ResNet-50,mid,2,0.020457866536775504
flowers102,ViT-S,ResNet-50,mid,3,0.02971261568436434
flowers102,ViT-S,ResNet-50,mid,4,0.0340964442279591
flowers102,ViT-S,ResNet-50,high,0,0.01123046875
flowers102,ViT-S,ResNet-50,high,1,0.0205078125
flowers102,ViT-S,ResNet-50,high,2,0.0048828125
flowers102,ViT-S,ResNet-50,high,3,0.02587890625
flowers102,ViT-S,ResNet-50,high,4,0.02294921875
flowers102,ViT-S,ConvNeXt-T,low,0,-0.0537109375
flowers102,ViT-S,ConvNeXt-T,low,1,-0.05224609375
flowers102,ViT-S,ConvNeXt-T,low,2,-0.03125
flowers102,ViT-S,ConvNeXt-T,low,3,-0.03955078125
flowers102,ViT-S,ConvNeXt-T,low,4,-0.044921875
flowers102,ViT-S,ConvNeXt-T,mid,0,-0.05211885046273734
flowers102,ViT-S,ConvNeXt-T,mid,1,-0.06234778373112515
flowers102,ViT-S,ConvNeXt-T,mid,2,-0.049683390160740415
flowers102,ViT-S,ConvNeXt-T,mid,3,-0.03945445689235283
flowers102,ViT-S,ConvNeXt-T,mid,4,-0.037993180711154206
flowers102,ViT-S,ConvNeXt-T,high,0,-0.064453125
flowers102,ViT-S,ConvNeXt-T,high,1,-0.07958984375
flowers102,ViT-S,ConvNeXt-T,high,2,-0.07080078125
flowers102,ViT-S,ConvNeXt-T,high,3,-0.06201171875
flowers102,ViT-S,ConvNeXt-T,high,4,-0.05908203125
flowers102,Swin-T,ResNet-50,low,0,0.10107421875
flowers102,Swin-T,ResNet-50,low,1,0.09033203125
flowers102,Swin-T,ResNet-50,low,2,0.09716796875
flowers102,Swin-T,ResNet-50,low,3,0.09375
flowers102,Swin-T,ResNet-50,low,4,0.08544921875
flowers102,Swin-T,ResNet-50,mid,0,0.07452508524111057
flowers102,Swin-T,ResNet-50,mid,1,0.09011203117389188
flowers102,Swin-T,ResNet-50,mid,2,0.09303458353628846
flowers102,Swin-T,ResNet-50,mid,3,0.08085728202630316
flowers102,Swin-T,ResNet-50,mid,4,0.0784218217243059
flowers102,Swin-T,ResNet-50,high,0,0.0810546875
flowers102,Swin-T,ResNet-50,high,1,0.099609375
flowers102,Swin-T,ResNet-50,high,2,0.08642578125
flowers102,Swin-T,ResNet-50,high,3,0.0849609375
flowers102,Swin-T,ResNet-50,high,4,0.07275390625
flowers102,Swin-T,ConvNeXt-T,low,0,0.0
flowers102,Swin-T,ConvNeXt-T,low,1,0.00732421875
flowers102,Swin-T,ConvNeXt-T,low,2,0.021484375
flowers102,Swin-T,ConvNeXt-T,low,3,0.01171875
flowers102,Swin-T,ConvNeXt-T,low,4,0.01171875
flowers102,Swin-T,ConvNeXt-T,mid,0,0.001461276181198401
flowers102,Swin-T,ConvNeXt-T,mid,1,0.004870920603994189
flowers102,Swin-T,ConvNeXt-T,mid,2,0.022893326838772543
flowers102,Swin-T,ConvNeXt-T,mid,3,0.011690209449585987
flowers102,Swin-T,ConvNeXt-T,mid,4,0.00633219678519259
flowers102,Swin-T,ConvNeXt-T,high,0,0.00537109375
flowers102,Swin-T,ConvNeXt-T,high,1,-0.00048828125
flowers102,Swin-T,ConvNeXt-T,high,2,0.0107421875
flowers102,Swin-T,ConvNeXt-T,high,3,-0.0029296875
flowers102,Swin-T,ConvNeXt-T,high,4,-0.00927734375
