dataset,id,backbone,seed,clean
flowers102,S1,ResNet-50,0,0.8490811514067328
flowers102,S1,ResNet-50,1,0.8464791022930558
flowers102,S1,ResNet-50,2,0.8477801268498943
flowers102,S1,ResNet-50,3,0.8481053829891039
flowers102,S1,ResNet-50,4,0.8544478777036917
flowers102,S2,ConvNeXt-T,0,0.9323467230443976
flowers102,S2,ConvNeXt-T,1,0.9359245405757034
flowers102,S2,ConvNeXt-T,2,0.9216132704504798
flowers102,S2,ConvNeXt-T,3,0.9277931370954626
flowers102,S2,ConvNeXt-T,4,0.9303951862091396
flowers102,S3,ViT-S,0,0.8755895267523175
flowers102,S3,ViT-S,1,0.8711985688729875
flowers102,S3,ViT-S,2,0.8710359408033826
flowers102,S3,ViT-S,3,0.8807936249796715
flowers102,S3,ViT-S,4,0.8830704179541389
flowers102,S4,Swin-T,0,0.9346235160188648
flowers102,S4,Swin-T,1,0.9398276142462187
flowers102,S4,Swin-T,2,0.9399902423158236
flowers102,S4,Swin-T,3,0.9346235160188648
flowers102,S4,Swin-T,4,0.9333224914620264
cub200,S1,ResNet-50,0,0.7875388332758025
cub200,S1,ResNet-50,1,0.7833966171901967
cub200,S1,ResNet-50,2,0.7887469796341042
cub200,S1,ResNet-50,3,0.7856403175698999
cub200,S1,ResNet-50,4,0.7909906800138073
cub200,S2,ConvNeXt-T,0,0.8413876423886779
cub200,S2,ConvNeXt-T,1,0.8332758025543666
cub200,S2,ConvNeXt-T,2,0.840006903693476
cub200,S2,ConvNeXt-T,3,0.8377632033137729
cub200,S2,ConvNeXt-T,4,0.8348291335864687
cub200,S3,ViT-S,0,0.7959958577839144
cub200,S3,ViT-S,1,0.7884017949603037
cub200,S3,ViT-S,2,0.7963410424577149
cub200,S3,ViT-S,3,0.7923714187090093
cub200,S3,ViT-S,4,0.8025543665861236
cub200,S4,Swin-T,0,0.8412150500517777
cub200,S4,Swin-T,1,0.8451846738004832
cub200,S4,Swin-T,2,0.8496720745598896
cub200,S4,Swin-T,3,0.8489817052122886
cub200,S4,Swin-T,4,0.8488091128753883
