dataset,id,backbone,seed,clean,gray,CR
flowers102,S1,ResNet-50,0,0.8490811514067328,0.4901610017889087,0.3589201496178241
flowers102,S1,ResNet-50,1,0.8464791022930558,0.4872336965360221,0.3592454057570337
flowers102,S1,ResNet-50,2,0.8477801268498943,0.4823548544478777,0.36542527240201667
flowers102,S1,ResNet-50,3,0.8481053829891039,0.5116279069767442,0.33647747601235967
flowers102,S1,ResNet-50,4,0.8544478777036917,0.5223613595706619,0.3320865181330298
flowers102,S2,ConvNeXt-T,0,0.9323467230443976,0.6799479590177264,0.25239876402667116
flowers102,S2,ConvNeXt-T,1,0.9359245405757034,0.6965360221174175,0.2393885184582859
flowers102,S2,ConvNeXt-T,2,0.9216132704504798,0.689055130915596,0.2325581395348838
flowers102,S2,ConvNeXt-T,3,0.9277931370954626,0.6394535696861279,0.28833956740933475
flowers102,S2,ConvNeXt-T,4,0.9303951862091396,0.675069116929582,0.2553260692795576
flowers102,S3,ViT-S,0,0.8755895267523175,0.3542039355992844,0.5213855911530331
flowers102,S3,ViT-S,1,0.8711985688729875,0.3488372093023256,0.522361359570662
flowers102,S3,ViT-S,2,0.8710359408033826,0.3351764514555212,0.5358594893478614
flowers102,S3,ViT-S,3,0.8807936249796715,0.3254187672792324,0.5553748577004392
flowers102,S3,ViT-S,4,0.8830704179541389,0.3413563181005041,0.5417140998536347
flowers102,S4,Swin-T,0,0.9346235160188648,0.6539274678809562,0.2806960481379086
flowers102,S4,Swin-T,1,0.9398276142462187,0.6350626118067979,0.30476500243942084
flowers102,S4,Swin-T,2,0.9399902423158236,0.6199382013335502,0.32005204098227347
flowers102,S4,Swin-T,3,0.9346235160188648,0.6799479590177264,0.2546755570011384
flowers102,S4,Swin-T,4,0.9333224914620264,0.6714912993982761,0.2618311920637503
cub200,S1,ResNet-50,0,0.7875388332758025,0.3753883327580255,0.412150500517777
cub200,S1,ResNet-50,1,0.7833966171901967,0.3791853641698308,0.4042112530203659
cub200,S1,ResNet-50,2,0.7887469796341042,0.3738350017259234,0.41491197790818085
cub200,S1,ResNet-50,3,0.7856403175698999,0.3702105626510183,0.4154297549188816
cub200,S1,ResNet-50,4,0.7909906800138073,0.3576113220573007,0.4333793579565067
cub200,S2,ConvNeXt-T,0,0.8413876423886779,0.426475664480497,0.4149119779081809
cub200,S2,ConvNeXt-T,1,0.8332758025543666,0.4230238177424922,0.4102519848118744
cub200,S2,ConvNeXt-T,2,0.840006903693476,0.4183638246461857,0.42164307904729026
cub200,S2,ConvNeXt-T,3,0.8377632033137729,0.4202623403520883,0.41750086296168454
cub200,S2,ConvNeXt-T,4,0.8348291335864687,0.4173282706247843,0.4175008629616844
cub200,S3,ViT-S,0,0.7959958577839144,0.2963410424577148,0.49965481532619954
cub200,S3,ViT-S,1,0.7884017949603037,0.3001380738695202,0.48826372109078353
cub200,S3,ViT-S,2,0.7963410424577149,0.282878840179496,0.5134622022782189
cub200,S3,ViT-S,3,0.7923714187090093,0.3061788056610287,0.4861926130479806
cub200,S3,ViT-S,4,0.8025543665861236,0.3044528822920262,0.49810148429409734
cub200,S4,Swin-T,0,0.8412150500517777,0.4055919917155678,0.43562305833620985
cub200,S4,Swin-T,1,0.8451846738004832,0.4111149464963756,0.43406972730410764
cub200,S4,Swin-T,2,0.8496720745598896,0.4202623403520883,0.42940973420780126
cub200,S4,Swin-T,3,0.8489817052122886,0.3976527442181567,0.45132896099413183
cub200,S4,Swin-T,4,0.8488091128753883,0.4506385916465309,0.3981705212288574
