dataset,id,backbone,arm,seed,y_true,clean,gray,n_img,CR
cub200,S1,ResNet-50,resnet50,0,0,0.8,0.7,30,0.10000000000000009
cub200,S1,ResNet-50,resnet50,0,1,0.8,0.7333333333333333,30,0.06666666666666676
cub200,S1,ResNet-50,resnet50,0,2,0.8214285714285714,0.8571428571428571,28,-0.0357142857142857
cub200,S1,ResNet-50,resnet50,0,3,0.8666666666666667,0.43333333333333335,30,0.43333333333333335
cub200,S1,ResNet-50,resnet50,0,4,0.9285714285714286,0.21428571428571427,14,0.7142857142857143
cub200,S1,ResNet-50,resnet50,0,5,0.8181818181818182,0.7272727272727273,11,0.09090909090909094
cub200,S1,ResNet-50,resnet50,0,6,1.0,0.8695652173913043,23,0.13043478260869568
cub200,S1,ResNet-50,resnet50,0,7,0.7777777777777778,0.5,18,0.2777777777777778
cub200,S1,ResNet-50,resnet50,0,8,0.5517241379310345,0.4482758620689655,29,0.10344827586206895
cub200,S1,ResNet-50,resnet50,0,9,0.8666666666666667,0.03333333333333333,30,0.8333333333333334
cub200,S1,ResNet-50,resnet50,0,10,0.5,0.5333333333333333,30,-0.033333333333333326
cub200,S1,ResNet-50,resnet50,0,11,0.9230769230769231,0.038461538461538464,26,0.8846153846153847
cub200,S1,ResNet-50,resnet50,0,12,0.9,0.9,30,0.0
cub200,S1,ResNet-50,resnet50,0,13,0.9666666666666667,0.0,30,0.9666666666666667
cub200,S1,ResNet-50,resnet50,0,14,0.9642857142857143,0.0,28,0.9642857142857143
cub200,S1,ResNet-50,resnet50,0,15,0.9285714285714286,0.0,28,0.9285714285714286
cub200,S1,ResNet-50,resnet50,0,16,0.9259259259259259,0.2962962962962963,27,0.6296296296296297
cub200,S1,ResNet-50,resnet50,0,17,1.0,0.5333333333333333,15,0.4666666666666667
cub200,S1,ResNet-50,resnet50,0,18,0.8275862068965517,0.034482758620689655,29,0.7931034482758621
cub200,S1,ResNet-50,resnet50,0,19,0.7586206896551724,0.0,29,0.7586206896551724
cub200,S1,ResNet-50,resnet50,0,20,0.8666666666666667,0.23333333333333334,30,0.6333333333333333
cub200,S1,ResNet-50,resnet50,0,21,0.5769230769230769,0.11538461538461539,26,0.46153846153846145
cub200,S1,ResNet-50,resnet50,0,22,0.4482758620689655,0.41379310344827586,29,0.03448275862068967
cub200,S1,ResNet-50,resnet50,0,23,0.9090909090909091,0.09090909090909091,22,0.8181818181818181
cub200,S1,ResNet-50,resnet50,0,24,0.5,0.7333333333333333,30,-0.23333333333333328
cub200,S1,ResNet-50,resnet50,0,25,0.9333333333333333,0.0,30,0.9333333333333333
cub200,S1,ResNet-50,resnet50,0,26,0.4666666666666667,0.3,30,0.16666666666666669
cub200,S1,ResNet-50,resnet50,0,27,0.8620689655172413,0.8620689655172413,29,0.0
cub200,S1,ResNet-50,resnet50,0,28,0.4,0.23333333333333334,30,0.16666666666666669
cub200,S1,ResNet-50,resnet50,0,29,0.4666666666666667,0.6666666666666666,30,-0.19999999999999996
cub200,S1,ResNet-50,resnet50,0,30,0.8,0.6,30,0.20000000000000007
cub200,S1,ResNet-50,resnet50,0,31,0.6521739130434783,0.13043478260869565,23,0.5217391304347826
cub200,S1,ResNet-50,resnet50,0,32,0.6896551724137931,0.13793103448275862,29,0.5517241379310345
cub200,S1,ResNet-50,resnet50,0,33,0.9310344827586207,0.3793103448275862,29,0.5517241379310345
cub200,S1,ResNet-50,resnet50,0,34,0.9666666666666667,0.3,30,0.6666666666666667
cub200,S1,ResNet-50,resnet50,0,35,0.9666666666666667,0.9333333333333333,30,0.033333333333333326
cub200,S1,ResNet-50,resnet50,0,36,0.6206896551724138,0.4827586206896552,29,0.13793103448275862
cub200,S1,ResNet-50,resnet50,0,37,0.6666666666666666,0.0,30,0.6666666666666666
cub200,S1,ResNet-50,resnet50,0,38,0.5172413793103449,0.13793103448275862,29,0.37931034482758624
cub200,S1,ResNet-50,resnet50,0,39,0.4666666666666667,0.26666666666666666,30,0.2
cub200,S1,ResNet-50,resnet50,0,40,0.8666666666666667,0.6666666666666666,30,0.20000000000000007
cub200,S1,ResNet-50,resnet50,0,41,0.9,0.0,30,0.9
cub200,S1,ResNet-50,resnet50,0,42,0.4482758620689655,0.10344827586206896,29,0.3448275862068966
cub200,S1,ResNet-50,resnet50,0,43,0.8333333333333334,0.6666666666666666,30,0.16666666666666674
cub200,S1,ResNet-50,resnet50,0,44,0.6,0.6666666666666666,30,-0.06666666666666665
cub200,S1,ResNet-50,resnet50,0,45,0.9333333333333333,0.8666666666666667,30,0.06666666666666665
cub200,S1,ResNet-50,resnet50,0,46,0.8666666666666667,0.0,30,0.8666666666666667
cub200,S1,ResNet-50,resnet50,0,47,0.9666666666666667,0.36666666666666664,30,0.6000000000000001
cub200,S1,ResNet-50,resnet50,0,48,0.6,0.2,30,0.39999999999999997
cub200,S1,ResNet-50,resnet50,0,49,0.7,0.36666666666666664,30,0.3333333333333333
cub200,S1,ResNet-50,resnet50,0,50,0.8666666666666667,0.36666666666666664,30,0.5
cub200,S1,ResNet-50,resnet50,0,51,0.8666666666666667,0.8,30,0.06666666666666665
cub200,S1,ResNet-50,resnet50,0,52,0.9666666666666667,0.8,30,0.16666666666666663
cub200,S1,ResNet-50,resnet50,0,53,0.8333333333333334,0.03333333333333333,30,0.8
cub200,S1,ResNet-50,resnet50,0,54,0.9333333333333333,0.0,30,0.9333333333333333
cub200,S1,ResNet-50,resnet50,0,55,0.9,0.06666666666666667,30,0.8333333333333334
cub200,S1,ResNet-50,resnet50,0,56,1.0,0.4,30,0.6
cub200,S1,ResNet-50,resnet50,0,57,0.7857142857142857,0.5357142857142857,28,0.25
cub200,S1,ResNet-50,resnet50,0,58,0.36666666666666664,0.13333333333333333,30,0.2333333333333333
cub200,S1,ResNet-50,resnet50,0,59,0.5172413793103449,0.6551724137931034,29,-0.13793103448275856
cub200,S1,ResNet-50,resnet50,0,60,0.9666666666666667,0.4666666666666667,30,0.5
cub200,S1,ResNet-50,resnet50,0,61,0.4,0.2,30,0.2
cub200,S1,ResNet-50,resnet50,0,62,0.8333333333333334,0.7666666666666667,30,0.06666666666666665
cub200,S1,ResNet-50,resnet50,0,63,0.36666666666666664,0.23333333333333334,30,0.1333333333333333
cub200,S1,ResNet-50,resnet50,0,64,0.55,0.4,20,0.15000000000000002
cub200,S1,ResNet-50,resnet50,0,65,0.7,0.6666666666666666,30,0.033333333333333326
cub200,S1,ResNet-50,resnet50,0,66,0.7,0.5666666666666667,30,0.1333333333333333
cub200,S1,ResNet-50,resnet50,0,67,0.8333333333333334,0.5666666666666667,30,0.2666666666666667
cub200,S1,ResNet-50,resnet50,0,68,0.7333333333333333,0.43333333333333335,30,0.29999999999999993
cub200,S1,ResNet-50,resnet50,0,69,1.0,0.0,30,1.0
cub200,S1,ResNet-50,resnet50,0,70,0.4666666666666667,0.4666666666666667,30,0.0
cub200,S1,ResNet-50,resnet50,0,71,0.6,0.3333333333333333,30,0.26666666666666666
cub200,S1,ResNet-50,resnet50,0,72,0.8666666666666667,0.4,30,0.4666666666666667
cub200,S1,ResNet-50,resnet50,0,73,1.0,0.1,30,0.9
cub200,S1,ResNet-50,resnet50,0,74,0.9629629629629629,0.2962962962962963,27,0.6666666666666666
cub200,S1,ResNet-50,resnet50,0,75,0.9333333333333333,0.7666666666666667,30,0.16666666666666663
cub200,S1,ResNet-50,resnet50,0,76,1.0,0.0,30,1.0
cub200,S1,ResNet-50,resnet50,0,77,0.896551724137931,0.5517241379310345,29,0.3448275862068966
cub200,S1,ResNet-50,resnet50,0,78,0.9,0.6666666666666666,30,0.2333333333333334
cub200,S1,ResNet-50,resnet50,0,79,0.8,0.7,30,0.10000000000000009
cub200,S1,ResNet-50,resnet50,0,80,0.9,0.8333333333333334,30,0.06666666666666665
cub200,S1,ResNet-50,resnet50,0,81,0.8,0.36666666666666664,30,0.4333333333333334
cub200,S1,ResNet-50,resnet50,0,82,0.9666666666666667,0.2,30,0.7666666666666666
cub200,S1,ResNet-50,resnet50,0,83,0.8260869565217391,0.5217391304347826,23,0.30434782608695654
cub200,S1,ResNet-50,resnet50,0,84,0.9666666666666667,0.8,30,0.16666666666666663
cub200,S1,ResNet-50,resnet50,0,85,0.9333333333333333,0.9666666666666667,30,-0.033333333333333326
cub200,S1,ResNet-50,resnet50,0,86,0.8666666666666667,0.13333333333333333,30,0.7333333333333334
cub200,S1,ResNet-50,resnet50,0,87,0.9666666666666667,0.1,30,0.8666666666666667
cub200,S1,ResNet-50,resnet50,0,88,0.8,0.7666666666666667,30,0.033333333333333326
cub200,S1,ResNet-50,resnet50,0,89,0.9,0.5333333333333333,30,0.3666666666666667
cub200,S1,ResNet-50,resnet50,0,90,0.6333333333333333,0.5666666666666667,30,0.06666666666666665
cub200,S1,ResNet-50,resnet50,0,91,0.9,0.7333333333333333,30,0.16666666666666674
cub200,S1,ResNet-50,resnet50,0,92,1.0,0.8,30,0.19999999999999996
cub200,S1,ResNet-50,resnet50,0,93,0.9666666666666667,0.6333333333333333,30,0.33333333333333337
cub200,S1,ResNet-50,resnet50,0,94,0.8333333333333334,0.0,30,0.8333333333333334
cub200,S1,ResNet-50,resnet50,0,95,0.7333333333333333,0.0,30,0.7333333333333333
