dataset,id,backbone,arm,seed,y_true,clean,gray,n_img,CR
flowers102,S1,ResNet-50,resnet50,0,0,0.9,0.7,20,0.20000000000000007
flowers102,S1,ResNet-50,resnet50,0,1,0.95,0.925,40,0.02499999999999991
flowers102,S1,ResNet-50,resnet50,0,2,0.45,0.55,20,-0.10000000000000003
flowers102,S1,ResNet-50,resnet50,0,3,0.3611111111111111,0.3055555555555556,36,0.055555555555555525
flowers102,S1,ResNet-50,resnet50,0,4,0.8222222222222222,0.0,45,0.8222222222222222
flowers102,S1,ResNet-50,resnet50,0,5,0.96,0.84,25,0.12
flowers102,S1,ResNet-50,resnet50,0,6,0.95,0.9,20,0.04999999999999993
flowers102,S1,ResNet-50,resnet50,0,7,1.0,0.9230769230769231,65,0.07692307692307687
flowers102,S1,ResNet-50,resnet50,0,8,0.9615384615384616,0.3076923076923077,26,0.6538461538461539
flowers102,S1,ResNet-50,resnet50,0,9,1.0,0.96,25,0.040000000000000036
flowers102,S1,ResNet-50,resnet50,0,10,0.6119402985074627,0.3283582089552239,67,0.2835820895522388
flowers102,S1,ResNet-50,resnet50,0,11,0.9402985074626866,0.5970149253731343,67,0.34328358208955234
flowers102,S1,ResNet-50,resnet50,0,12,1.0,0.8275862068965517,29,0.1724137931034483
flowers102,S1,ResNet-50,resnet50,0,13,0.9642857142857143,1.0,28,-0.0357142857142857
flowers102,S1,ResNet-50,resnet50,0,14,1.0,0.20689655172413793,29,0.7931034482758621
flowers102,S1,ResNet-50,resnet50,0,15,0.9523809523809523,0.0,21,0.9523809523809523
flowers102,S1,ResNet-50,resnet50,0,16,0.9692307692307692,0.8923076923076924,65,0.07692307692307687
flowers102,S1,ResNet-50,resnet50,0,17,0.8225806451612904,0.7419354838709677,62,0.08064516129032262
flowers102,S1,ResNet-50,resnet50,0,18,0.7586206896551724,0.6206896551724138,29,0.13793103448275856
flowers102,S1,ResNet-50,resnet50,0,19,0.8888888888888888,0.8055555555555556,36,0.08333333333333326
flowers102,S1,ResNet-50,resnet50,0,20,0.85,0.35,20,0.5
flowers102,S1,ResNet-50,resnet50,0,21,0.9230769230769231,0.8205128205128205,39,0.10256410256410264
flowers102,S1,ResNet-50,resnet50,0,22,0.8450704225352113,0.7746478873239436,71,0.07042253521126762
flowers102,S1,ResNet-50,resnet50,0,23,0.9545454545454546,0.36363636363636365,22,0.5909090909090909
flowers102,S1,ResNet-50,resnet50,0,24,0.9523809523809523,0.7619047619047619,21,0.19047619047619047
flowers102,S1,ResNet-50,resnet50,0,25,0.9523809523809523,0.0,21,0.9523809523809523
flowers102,S1,ResNet-50,resnet50,0,26,1.0,0.6,20,0.4
flowers102,S1,ResNet-50,resnet50,0,27,0.9347826086956522,0.21739130434782608,46,0.7173913043478262
flowers102,S1,ResNet-50,resnet50,0,28,0.9137931034482759,0.3793103448275862,58,0.5344827586206897
flowers102,S1,ResNet-50,resnet50,0,29,0.5692307692307692,0.2,65,0.3692307692307692
flowers102,S1,ResNet-50,resnet50,0,30,0.84375,0.5,32,0.34375
flowers102,S1,ResNet-50,resnet50,0,31,0.88,0.76,25,0.12
flowers102,S1,ResNet-50,resnet50,0,32,0.9230769230769231,0.8846153846153846,26,0.03846153846153855
flowers102,S1,ResNet-50,resnet50,0,33,1.0,0.85,20,0.15000000000000002
flowers102,S1,ResNet-50,resnet50,0,34,1.0,0.9130434782608695,23,0.08695652173913049
flowers102,S1,ResNet-50,resnet50,0,35,0.8545454545454545,0.8727272727272727,55,-0.018181818181818188
flowers102,S1,ResNet-50,resnet50,0,36,0.9886363636363636,0.8977272727272727,88,0.09090909090909094
flowers102,S1,ResNet-50,resnet50,0,37,0.9166666666666666,0.8611111111111112,36,0.05555555555555547
flowers102,S1,ResNet-50,resnet50,0,38,0.5238095238095238,0.2857142857142857,21,0.23809523809523814
flowers102,S1,ResNet-50,resnet50,0,39,0.7659574468085106,0.44680851063829785,47,0.3191489361702128
flowers102,S1,ResNet-50,resnet50,0,40,0.8878504672897196,0.48598130841121495,107,0.40186915887850466
flowers102,S1,ResNet-50,resnet50,0,41,0.8461538461538461,0.15384615384615385,39,0.6923076923076923
flowers102,S1,ResNet-50,resnet50,0,42,0.6181818181818182,0.4,110,0.21818181818181814
flowers102,S1,ResNet-50,resnet50,0,43,0.958904109589041,0.410958904109589,73,0.547945205479452
flowers102,S1,ResNet-50,resnet50,0,44,0.9,0.75,20,0.15000000000000002
flowers102,S1,ResNet-50,resnet50,0,45,0.8693181818181818,0.0,176,0.8693181818181818
flowers102,S1,ResNet-50,resnet50,0,46,1.0,0.19148936170212766,47,0.8085106382978724
flowers102,S1,ResNet-50,resnet50,0,47,0.9411764705882353,0.0,51,0.9411764705882353
flowers102,S1,ResNet-50,resnet50,0,48,1.0,0.9655172413793104,29,0.03448275862068961
flowers102,S1,ResNet-50,resnet50,0,49,0.9027777777777778,0.3888888888888889,72,0.5138888888888888
flowers102,S1,ResNet-50,resnet50,0,50,0.5504201680672269,0.6638655462184874,238,-0.11344537815126043
flowers102,S1,ResNet-50,resnet50,0,51,0.9692307692307692,0.8769230769230769,65,0.09230769230769231
flowers102,S1,ResNet-50,resnet50,0,52,0.5342465753424658,0.0273972602739726,73,0.5068493150684932
flowers102,S1,ResNet-50,resnet50,0,53,1.0,0.7804878048780488,41,0.2195121951219512
flowers102,S1,ResNet-50,resnet50,0,54,0.9607843137254902,0.49019607843137253,51,0.4705882352941177
flowers102,S1,ResNet-50,resnet50,0,55,0.9775280898876404,0.0,89,0.9775280898876404
flowers102,S1,ResNet-50,resnet50,0,56,0.9361702127659575,0.9361702127659575,47,0.0
flowers102,S1,ResNet-50,resnet50,0,57,0.9893617021276596,0.0,94,0.9893617021276596
flowers102,S1,ResNet-50,resnet50,0,58,1.0,0.0,47,1.0
flowers102,S1,ResNet-50,resnet50,0,59,0.9775280898876404,0.6853932584269663,89,0.2921348314606741
flowers102,S1,ResNet-50,resnet50,0,60,1.0,0.5666666666666667,30,0.43333333333333335
flowers102,S1,ResNet-50,resnet50,0,61,0.7714285714285715,0.17142857142857143,35,0.6000000000000001
flowers102,S1,ResNet-50,resnet50,0,62,0.9705882352941176,0.0,34,0.9705882352941176
flowers102,S1,ResNet-50,resnet50,0,63,1.0,1.0,32,0.0
flowers102,S1,ResNet-50,resnet50,0,64,0.9024390243902439,0.24390243902439024,82,0.6585365853658537
flowers102,S1,ResNet-50,resnet50,0,65,1.0,0.9024390243902439,41,0.09756097560975607
flowers102,S1,ResNet-50,resnet50,0,66,0.6363636363636364,0.45454545454545453,22,0.18181818181818182
flowers102,S1,ResNet-50,resnet50,0,67,0.9117647058823529,0.8823529411764706,34,0.02941176470588236
flowers102,S1,ResNet-50,resnet50,0,68,1.0,0.7058823529411765,34,0.2941176470588235
flowers102,S1,ResNet-50,resnet50,0,69,0.9761904761904762,0.5952380952380952,42,0.38095238095238093
flowers102,S1,ResNet-50,resnet50,0,70,1.0,0.3275862068965517,58,0.6724137931034483
flowers102,S1,ResNet-50,resnet50,0,71,0.8421052631578947,0.2894736842105263,76,0.5526315789473684
flowers102,S1,ResNet-50,resnet50,0,72,0.9137931034482759,0.7988505747126436,174,0.11494252873563227
flowers102,S1,ResNet-50,resnet50,0,73,0.6357615894039735,0.046357615894039736,151,0.5894039735099338
flowers102,S1,ResNet-50,resnet50,0,74,0.89,0.53,100,0.36
flowers102,S1,ResNet-50,resnet50,0,75,0.6781609195402298,0.7931034482758621,87,-0.11494252873563227
flowers102,S1,ResNet-50,resnet50,0,76,0.9134199134199135,0.8787878787878788,231,0.03463203463203468
flowers102,S1,ResNet-50,resnet50,0,77,0.8632478632478633,0.8547008547008547,117,0.008547008547008628
flowers102,S1,ResNet-50,resnet50,0,78,1.0,0.9523809523809523,21,0.04761904761904767
flowers102,S1,ResNet-50,resnet50,0,79,0.9411764705882353,0.47058823529411764,85,0.47058823529411764
flowers102,S1,ResNet-50,resnet50,0,80,0.9452054794520548,0.4383561643835616,146,0.5068493150684932
flowers102,S1,ResNet-50,resnet50,0,81,0.782608695652174,0.5869565217391305,92,0.19565217391304346
flowers102,S1,ResNet-50,resnet50,0,82,0.7297297297297297,0.38738738738738737,111,0.34234234234234234
flowers102,S1,ResNet-50,resnet50,0,83,0.5909090909090909,0.24242424242424243,66,0.3484848484848485
flowers102,S1,ResNet-50,resnet50,0,84,0.9534883720930233,0.46511627906976744,43,0.48837209302325585
flowers102,S1,ResNet-50,resnet50,0,85,0.9736842105263158,0.868421052631579,38,0.10526315789473684
flowers102,S1,ResNet-50,resnet50,0,86,0.9069767441860465,0.8372093023255814,43,0.06976744186046502
flowers102,S1,ResNet-50,resnet50,0,87,0.6865671641791045,0.41044776119402987,134,0.2761194029850746
flowers102,S1,ResNet-50,resnet50,0,88,0.8841463414634146,0.0,164,0.8841463414634146
flowers102,S1,ResNet-50,resnet50,0,89,0.7903225806451613,0.0,62,0.7903225806451613
flowers102,S1,ResNet-50,resnet50,0,90,0.75,0.25,56,0.5
flowers102,S1,ResNet-50,resnet50,0,91,0.9782608695652174,0.6521739130434783,46,0.32608695652173914
flowers102,S1,ResNet-50,resnet50,0,92,0.8076923076923077,0.6153846153846154,26,0.1923076923076923
flowers102,S1,ResNet-50,resnet50,0,93,0.9366197183098591,0.7605633802816901,142,0.176056338028169
flowers102,S1,ResNet-50,resnet50,0,94,0.75,0.3055555555555556,108,0.4444444444444444
flowers102,S1,ResNet-50,resnet50,0,95,0.5070422535211268,0.28169014084507044,71,0.22535211267605632
flowers102,S1,ResNet-50,resnet50,0,96,0.7608695652173914,0.2826086956521739,46,0.47826086956521746
flowers102,S1,ResNet-50,resnet50,0,97,0.967741935483871,0.5483870967741935,62,0.4193548387096775
flowers102,S1,ResNet-50,resnet50,0,98,0.813953488372093,0.3953488372093023,43,0.4186046511627907
flowers102,S1,ResNet-50,resnet50,0,99,0.9655172413793104,0.034482758620689655,29,0.9310344827586208
flowers102,S1,ResNet-50,resnet50,0,100,0.9473684210526315,0.02631578947368421,38,0.9210526315789473
flowers102,S1,ResNet-50,resnet50,0,101,0.9642857142857143,0.39285714285714285,28,0.5714285714285714
flowers102,S1,ResNet-50,resnet50,1,0,0.95,0.55,20,0.3999999999999999
flowers102,S1,ResNet-50,resnet50,1,1,0.925,0.875,40,0.050000000000000044
flowers102,S1,ResNet-50,resnet50,1,2,0.5,0.45,20,0.04999999999999999
flowers102,S1,ResNet-50,resnet50,1,3,0.4166666666666667,0.19444444444444445,36,0.22222222222222224
flowers102,S1,ResNet-50,resnet50,1,4,0.8222222222222222,0.0,45,0.8222222222222222
flowers102,S1,ResNet-50,resnet50,1,5,0.96,0.76,25,0.19999999999999996
flowers102,S1,ResNet-50,resnet50,1,6,0.95,0.9,20,0.04999999999999993
flowers102,S1,ResNet-50,resnet50,1,7,1.0,0.8461538461538461,65,0.15384615384615385
flowers102,S1,ResNet-50,resnet50,1,8,0.9230769230769231,0.38461538461538464,26,0.5384615384615385
flowers102,S1,ResNet-50,resnet50,1,9,1.0,0.96,25,0.040000000000000036
flowers102,S1,ResNet-50,resnet50,1,10,0.5970149253731343,0.34328358208955223,67,0.25373134328358204
flowers102,S1,ResNet-50,resnet50,1,11,0.9253731343283582,0.4925373134328358,67,0.4328358208955224
flowers102,S1,ResNet-50,resnet50,1,12,1.0,0.896551724137931,29,0.10344827586206895
flowers102,S1,ResNet-50,resnet50,1,13,0.9642857142857143,1.0,28,-0.0357142857142857
flowers102,S1,ResNet-50,resnet50,1,14,0.9655172413793104,0.3793103448275862,29,0.5862068965517242
flowers102,S1,ResNet-50,resnet50,1,15,0.9047619047619048,0.0,21,0.9047619047619048
flowers102,S1,ResNet-50,resnet50,1,16,0.9846153846153847,0.8769230769230769,65,0.10769230769230775
flowers102,S1,ResNet-50,resnet50,1,17,0.8548387096774194,0.6612903225806451,62,0.19354838709677424
flowers102,S1,ResNet-50,resnet50,1,18,0.7586206896551724,0.6551724137931034,29,0.10344827586206895
flowers102,S1,ResNet-50,resnet50,1,19,0.75,0.7777777777777778,36,-0.02777777777777779
flowers102,S1,ResNet-50,resnet50,1,20,0.85,0.25,20,0.6
flowers102,S1,ResNet-50,resnet50,1,21,0.8461538461538461,0.7948717948717948,39,0.05128205128205132
flowers102,S1,ResNet-50,resnet50,1,22,0.8028169014084507,0.7605633802816901,71,0.04225352112676062
flowers102,S1,ResNet-50,resnet50,1,23,0.9090909090909091,0.5454545454545454,22,0.36363636363636365
flowers102,S1,ResNet-50,resnet50,1,24,1.0,0.9047619047619048,21,0.09523809523809523
flowers102,S1,ResNet-50,resnet50,1,25,0.7619047619047619,0.047619047619047616,21,0.7142857142857142
flowers102,S1,ResNet-50,resnet50,1,26,1.0,0.7,20,0.30000000000000004
flowers102,S1,ResNet-50,resnet50,1,27,0.9565217391304348,0.2826086956521739,46,0.673913043478261
flowers102,S1,ResNet-50,resnet50,1,28,0.9655172413793104,0.5,58,0.4655172413793104
flowers102,S1,ResNet-50,resnet50,1,29,0.6153846153846154,0.23076923076923078,65,0.38461538461538464
flowers102,S1,ResNet-50,resnet50,1,30,0.8125,0.21875,32,0.59375
flowers102,S1,ResNet-50,resnet50,1,31,0.76,0.76,25,0.0
flowers102,S1,ResNet-50,resnet50,1,32,0.8846153846153846,0.9230769230769231,26,-0.03846153846153855
flowers102,S1,ResNet-50,resnet50,1,33,1.0,0.75,20,0.25
flowers102,S1,ResNet-50,resnet50,1,34,1.0,0.9565217391304348,23,0.04347826086956519
flowers102,S1,ResNet-50,resnet50,1,35,0.8363636363636363,0.8909090909090909,55,-0.054545454545454564
flowers102,S1,ResNet-50,resnet50,1,36,0.9886363636363636,0.9772727272727273,88,0.011363636363636354
flowers102,S1,ResNet-50,resnet50,1,37,0.9722222222222222,0.8333333333333334,36,0.13888888888888884
flowers102,S1,ResNet-50,resnet50,1,38,0.5714285714285714,0.2857142857142857,21,0.2857142857142857
flowers102,S1,ResNet-50,resnet50,1,39,0.7446808510638298,0.46808510638297873,47,0.276595744680851
flowers102,S1,ResNet-50,resnet50,1,40,0.9345794392523364,0.6355140186915887,107,0.2990654205607477
flowers102,S1,ResNet-50,resnet50,1,41,0.9230769230769231,0.1282051282051282,39,0.7948717948717949
flowers102,S1,ResNet-50,resnet50,1,42,0.5272727272727272,0.19090909090909092,110,0.3363636363636363
flowers102,S1,ResNet-50,resnet50,1,43,0.9452054794520548,0.3698630136986301,73,0.5753424657534247
flowers102,S1,ResNet-50,resnet50,1,44,0.85,0.85,20,0.0
flowers102,S1,ResNet-50,resnet50,1,45,0.8636363636363636,0.0,176,0.8636363636363636
flowers102,S1,ResNet-50,resnet50,1,46,1.0,0.10638297872340426,47,0.8936170212765957
flowers102,S1,ResNet-50,resnet50,1,47,0.9607843137254902,0.058823529411764705,51,0.9019607843137255
flowers102,S1,ResNet-50,resnet50,1,48,1.0,0.9310344827586207,29,0.06896551724137934
flowers102,S1,ResNet-50,resnet50,1,49,0.9861111111111112,0.2777777777777778,72,0.7083333333333334
flowers102,S1,ResNet-50,resnet50,1,50,0.5462184873949579,0.4327731092436975,238,0.11344537815126043
flowers102,S1,ResNet-50,resnet50,1,51,0.9538461538461539,0.8769230769230769,65,0.07692307692307698
flowers102,S1,ResNet-50,resnet50,1,52,0.5068493150684932,0.0,73,0.5068493150684932
flowers102,S1,ResNet-50,resnet50,1,53,0.975609756097561,0.7317073170731707,41,0.24390243902439024
flowers102,S1,ResNet-50,resnet50,1,54,0.9215686274509803,0.6470588235294118,51,0.27450980392156854
flowers102,S1,ResNet-50,resnet50,1,55,0.9662921348314607,0.06741573033707865,89,0.898876404494382
flowers102,S1,ResNet-50,resnet50,1,56,0.8936170212765957,0.9361702127659575,47,-0.042553191489361764
flowers102,S1,ResNet-50,resnet50,1,57,0.9893617021276596,0.0425531914893617,94,0.946808510638298
flowers102,S1,ResNet-50,resnet50,1,58,1.0,0.0,47,1.0
flowers102,S1,ResNet-50,resnet50,1,59,0.9775280898876404,0.5393258426966292,89,0.4382022471910112
flowers102,S1,ResNet-50,resnet50,1,60,0.9333333333333333,0.1,30,0.8333333333333334
flowers102,S1,ResNet-50,resnet50,1,61,0.7714285714285715,0.17142857142857143,35,0.6000000000000001
flowers102,S1,ResNet-50,resnet50,1,62,0.9705882352941176,0.6470588235294118,34,0.32352941176470584
flowers102,S1,ResNet-50,resnet50,1,63,1.0,0.90625,32,0.09375
flowers102,S1,ResNet-50,resnet50,1,64,0.8902439024390244,0.17073170731707318,82,0.7195121951219512
flowers102,S1,ResNet-50,resnet50,1,65,1.0,0.926829268292683,41,0.07317073170731703
flowers102,S1,ResNet-50,resnet50,1,66,0.5,0.6363636363636364,22,-0.13636363636363635
flowers102,S1,ResNet-50,resnet50,1,67,0.8823529411764706,0.7647058823529411,34,0.11764705882352944
flowers102,S1,ResNet-50,resnet50,1,68,1.0,0.5294117647058824,34,0.47058823529411764
flowers102,S1,ResNet-50,resnet50,1,69,0.9523809523809523,0.35714285714285715,42,0.5952380952380951
flowers102,S1,ResNet-50,resnet50,1,70,1.0,0.7758620689655172,58,0.22413793103448276
flowers102,S1,ResNet-50,resnet50,1,71,0.8157894736842105,0.13157894736842105,76,0.6842105263157895
flowers102,S1,ResNet-50,resnet50,1,72,0.9252873563218391,0.6666666666666666,174,0.2586206896551725
flowers102,S1,ResNet-50,resnet50,1,73,0.5165562913907285,0.06622516556291391,151,0.45033112582781454
flowers102,S1,ResNet-50,resnet50,1,74,0.89,0.73,100,0.16000000000000003
flowers102,S1,ResNet-50,resnet50,1,75,0.7931034482758621,0.7241379310344828,87,0.06896551724137934
flowers102,S1,ResNet-50,resnet50,1,76,0.9047619047619048,0.9047619047619048,231,0.0
flowers102,S1,ResNet-50,resnet50,1,77,0.8547008547008547,0.6666666666666666,117,0.18803418803418803
flowers102,S1,ResNet-50,resnet50,1,78,1.0,0.9523809523809523,21,0.04761904761904767
flowers102,S1,ResNet-50,resnet50,1,79,0.9882352941176471,0.5176470588235295,85,0.47058823529411764
flowers102,S1,ResNet-50,resnet50,1,80,0.9383561643835616,0.410958904109589,146,0.5273972602739726
flowers102,S1,ResNet-50,resnet50,1,81,0.7934782608695652,0.75,92,0.04347826086956519
flowers102,S1,ResNet-50,resnet50,1,82,0.6756756756756757,0.25225225225225223,111,0.42342342342342343
flowers102,S1,ResNet-50,resnet50,1,83,0.7121212121212122,0.45454545454545453,66,0.2575757575757576
flowers102,S1,ResNet-50,resnet50,1,84,0.9302325581395349,0.18604651162790697,43,0.7441860465116279
flowers102,S1,ResNet-50,resnet50,1,85,0.9473684210526315,0.868421052631579,38,0.07894736842105254
flowers102,S1,ResNet-50,resnet50,1,86,0.8837209302325582,0.6744186046511628,43,0.2093023255813954
flowers102,S1,ResNet-50,resnet50,1,87,0.746268656716418,0.6417910447761194,134,0.10447761194029859
flowers102,S1,ResNet-50,resnet50,1,88,0.926829268292683,0.012195121951219513,164,0.9146341463414634
flowers102,S1,ResNet-50,resnet50,1,89,0.8064516129032258,0.0,62,0.8064516129032258
