dataset,backbone,baseline,bin,n_seeds,gap_mean,gap_sd,trend_mean,trend_sd
flowers102,ViT-S,ResNet-50,low,5,0.03876953125,0.0084120529169367,,
flowers102,ViT-S,ResNet-50,mid,5,0.0256210423770092,0.0060111975719337,,
flowers102,ViT-S,ResNet-50,high,5,0.01708984375,0.0087550884165239,-0.0216796875,0.0152879603967717
flowers102,ViT-S,ConvNeXt-T,low,5,-0.0443359375,0.0092863340485379,,
flowers102,ViT-S,ConvNeXt-T,mid,5,-0.0483195323916219,0.0099788509371144,,
flowers102,ViT-S,ConvNeXt-T,high,5,-0.0671875,0.0081675895117603,-0.0228515625,0.0114168050344579
flowers102,Swin-T,ResNet-50,low,5,0.0935546875,0.006035756695454,,
flowers102,Swin-T,ResNet-50,mid,5,0.08339016074038,0.0078722275112857,,
flowers102,Swin-T,ResNet-50,high,5,0.0849609375,0.0097595195758333,-0.00859375,0.0108558879715066
flowers102,Swin-T,ConvNeXt-T,low,5,0.01044921875,0.0078094476459081,,
flowers102,Swin-T,ConvNeXt-T,mid,5,0.0094495859717487,0.0083703337339268,,
flowers102,Swin-T,ConvNeXt-T,high,5,0.00068359375,0.0076941102923546,-0.009765625,0.0097960950428412
cub200,ViT-S,ResNet-50,low,5,0.0078756476683938,0.0105450280247794,,
cub200,ViT-S,ResNet-50,mid,5,0.011271975180972,0.0048697351304947,,
cub200,ViT-S,ResNet-50,high,5,0.0044559585492227,0.0066211859277636,-0.003419689119171,0.0164690241914632
cub200,ViT-S,ConvNeXt-T,low,5,-0.0441450777202071,0.0099219754008424,,
cub200,ViT-S,ConvNeXt-T,mid,5,-0.0410548086866598,0.0082454945760809,,
cub200,ViT-S,ConvNeXt-T,high,5,-0.041761658031088,0.0053671354041776,0.0023834196891191,0.0121767169977766
cub200,Swin-T,ResNet-50,low,5,0.0614507772020725,0.0036929595194207,,
cub200,Swin-T,ResNet-50,mid,5,0.0583247156153051,0.0064725889651648,,
cub200,Swin-T,ResNet-50,high,5,0.0587564766839378,0.0132636415016459,-0.0026943005181347,0.0111573546774168
cub200,Swin-T,ConvNeXt-T,low,5,0.0094300518134715,0.0098677120713599,,
cub200,Swin-T,ConvNeXt-T,mid,5,0.0059979317476732,0.0081229935415327,,
cub200,Swin-T,ConvNeXt-T,high,5,0.0125388601036269,0.0126567065196822,0.0031088082901553,0.0163150740868743
