dataset,bin_scope,backbone,bin,n_seed,clean,clean_sd,gray,gray_sd,CR,CR_sd
flowers102,whole image,ResNet-50,low,5,0.85986328125,0.0065327578907517,0.67587890625,0.0146947510047732,0.183984375,0.0127767445427557
flowers102,whole image,ResNet-50,mid,5,0.8632245494398442,0.0041816222175031,0.5255723331709693,0.0132727000423173,0.3376522162688748,0.0129258484885589
flowers102,whole image,ResNet-50,high,5,0.8244140625,0.0050105365360801,0.2947265625,0.0306269524399551,0.5296875,0.0311820244578826
flowers102,whole image,ConvNeXt-T,low,5,0.94296875,0.0079890333348589,0.81611328125,0.0202404210546671,0.12685546875,0.0140392535180208
flowers102,whole image,ConvNeXt-T,mid,5,0.9371651242084754,0.0058552436824993,0.6889430102289331,0.0198534087068891,0.2482221139795421,0.0181653341728967
flowers102,whole image,ConvNeXt-T,high,5,0.90869140625,0.0074612826122734,0.52294921875,0.0426876234999471,0.3857421875,0.042183374273812
flowers102,whole image,ViT-S,low,5,0.8986328125,0.0039907845198637,0.48212890625,0.0124946582824702,0.41650390625,0.0099829337403617
flowers102,whole image,ViT-S,mid,5,0.8888455918168534,0.0074383279761601,0.3214807598636142,0.0249251246994656,0.5673648319532392,0.0291918136485198
flowers102,whole image,ViT-S,high,5,0.84150390625,0.0081748839577187,0.21943359375,0.0221202723737782,0.6220703125,0.0208078864772094
flowers102,whole image,Swin-T,low,5,0.95341796875,0.0013192632896588,0.78046875,0.0185469761936476,0.17294921875,0.0174672337728751
flowers102,whole image,Swin-T,mid,5,0.946614710180224,0.0045511188024542,0.6673161227471993,0.0285769900513835,0.2792985874330248,0.0322670458027566
flowers102,whole image,Swin-T,high,5,0.909375,0.0068149790321749,0.5083984375,0.0457858388638486,0.4009765625,0.0490612112471313
cub200,whole image,ResNet-50,low,5,0.7604145077720206,0.0029899560717624,0.4635233160621761,0.0089113145958523,0.2968911917098445,0.0108251722361534
cub200,whole image,ResNet-50,mid,5,0.7998965873836609,0.0042481067024702,0.3603929679420889,0.00737608201535,0.4395036194415718,0.009176959332626
cub200,whole image,ResNet-50,high,5,0.8014507772020727,0.0068090866325386,0.2898445595854922,0.0094664219205051,0.5116062176165804,0.0148307860035212
cub200,whole image,ConvNeXt-T,low,5,0.8124352331606218,0.0046343377772016,0.5426943005181347,0.0101042911964454,0.269740932642487,0.0062132972907445
cub200,whole image,ConvNeXt-T,mid,5,0.8522233712512927,0.0070080647923805,0.4132368148914168,0.0060895017664683,0.4389865563598759,0.0082406294987121
cub200,whole image,ConvNeXt-T,high,5,0.8476683937823835,0.0053470900105052,0.3073575129533679,0.0056450533471356,0.5403108808290155,0.0072483324410833
cub200,whole image,ViT-S,low,5,0.7682901554404145,0.0101559691096386,0.3957512953367875,0.0152361563442549,0.3725388601036269,0.0161372139921217
cub200,whole image,ViT-S,mid,5,0.8111685625646328,0.004616073241089,0.2918304033092037,0.0072351888933658,0.5193381592554293,0.0089378657440876
cub200,whole image,ViT-S,high,5,0.8059067357512953,0.0054045201286654,0.2064248704663212,0.013278813247371,0.599481865284974,0.0143683156723959
cub200,whole image,Swin-T,low,5,0.8218652849740933,0.006102122495518,0.5214507772020726,0.0207564534027842,0.3004145077720208,0.0183678573777469
