dataset,id,config,checkpoint,optimizer,lr,wd,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd,diff_vs_S1,ci_lo,ci_hi
flowers102,S1,shared,a1_in1k,adamw,0.0001,0.05,0.8491787282484957,0.0030890772666993,0.4987477638640429,0.017309922712819,0.3504309643844528,0.0150483259997933,,,
flowers102,S11,legacy,tv_in1k,sgd,0.01,0.0001,0.9201821434379576,0.0020161945697017,0.6697674418604651,0.0106453705847853,0.2504147015774923,0.0117876746885114,0.0710034151894617,0.0663031853387939,0.0757036450401295
flowers102,S12,proper,a1_in1k,adamw,0.001,0.05,0.9075947308505448,0.0061728011239627,0.597430476500244,0.0231030903289517,0.3101642543503008,0.0210913621894528,0.0584160026020491,0.0477267052003351,0.069105300003763
flowers102,S13,sgd,a1_in1k,sgd,0.01,0.0001,0.7660107334525939,0.0053487084007822,0.3792811839323467,0.0193709761007834,0.3867295495202473,0.0144670442657296,-0.0831679947959017,-0.0932002499126889,-0.0731357396791146
flowers102,S2,ConvNeXt-T reference,fb_in1k,adamw,0.0001,0.05,0.9296145714750365,0.0053672190866662,0.67601235973329,0.0220468726591694,0.2536022117417466,0.0215405774167851,,,
cub200,S1,shared,a1_in1k,adamw,0.0001,0.05,0.7872626855367622,0.0029049910345075,0.3712461166724197,0.0082745381604197,0.4160165688643424,0.0106927882645542,,,
cub200,S11,legacy,tv_in1k,sgd,0.01,0.0001,0.8125302036589576,0.0038387732897545,0.3782533655505695,0.002741448769011,0.434276838108388,0.0040299479109965,0.0252675181221953,0.0200059860748603,0.0305290501695304
cub200,S12,proper,a1_in1k,adamw,0.001,0.05,0.8187435277873663,0.0016070561749374,0.3916465308940283,0.0121579020824165,0.4270969968933379,0.0105793612082818,0.031480842250604,0.026064475643906,0.0368972088573021
cub200,S13,sgd,a1_in1k,sgd,0.01,0.0001,0.7525371073524335,0.002977905600093,0.3455988954090438,0.0036338782686874,0.4069382119433896,0.005010233957158,-0.0347255781843286,-0.037290045138734,-0.0321611112299231
cub200,S2,ConvNeXt-T reference,fb_in1k,adamw,0.0001,0.05,0.8374525371073525,0.0034071143685941,0.4210907835692095,0.0037085270099005,0.4163617535381429,0.0041808690172287,,,
